,Mes,temperature_2m_max,temperature_2m_min,precipitation_sum,winddirection_10m_dominant,SEREMI
0,2014-01,10.561290322580644,5.864516129032259,68.4,277.4516129032258,Magallanes
1,2014-02,12.021428571428572,7.053571428571429,53.7,279.92857142857144,Magallanes
2,2014-03,10.125806451612902,5.22258064516129,80.5,271.8709677419355,Magallanes
3,2014-04,9.39,4.569999999999999,36.6,232.16666666666663,Magallanes
4,2014-05,6.370967741935484,2.55483870967742,23.7,226.0967741935484,Magallanes
5,2014-06,4.3966666666666665,0.6599999999999999,84.2,258.6,Magallanes
6,2014-07,3.7774193548387096,0.0580645161290322,31.9,219.8709677419355,Magallanes
7,2014-08,5.183870967741935,1.525806451612903,63.5,217.80645161290323,Magallanes
8,2014-09,6.596666666666667,2.1933333333333334,53.6,212.56666666666663,Magallanes
9,2014-10,8.535483870967743,2.761290322580645,35.5,268.5806451612903,Magallanes
10,2014-11,9.236666666666668,4.246666666666667,89.7,273.0,Magallanes
11,2014-12,10.948387096774193,5.751612903225807,95.0,261.2903225806452,Magallanes
12,2015-01,12.27741935483871,6.867741935483871,33.7,270.83870967741933,Magallanes
13,2015-02,12.142857142857142,7.1000000000000005,36.9,278.8928571428572,Magallanes
14,2015-03,11.561290322580644,6.393548387096774,92.1,268.83870967741933,Magallanes
15,2015-04,9.093333333333334,4.446666666666667,57.9,249.9,Magallanes
16,2015-05,5.935483870967742,2.541935483870968,100.0,198.8709677419355,Magallanes
17,2015-06,3.943333333333333,1.15,92.8,238.7333333333333,Magallanes
18,2015-07,3.032258064516129,-0.1387096774193548,98.4,232.96774193548387,Magallanes
19,2015-08,4.180645161290323,0.5096774193548387,59.8,227.4516129032258,Magallanes
20,2015-09,5.266666666666667,1.12,46.0,241.76666666666668,Magallanes
21,2015-10,8.925806451612903,2.803225806451613,24.2,220.7741935483871,Magallanes
22,2015-11,9.626666666666669,4.63,44.3,270.53333333333336,Magallanes
23,2015-12,11.2,5.090322580645162,26.0,265.16129032258067,Magallanes
24,2016-01,13.53225806451613,7.261290322580645,18.5,258.80645161290323,Magallanes
25,2016-02,12.771428571428572,7.042857142857143,56.6,271.35714285714283,Magallanes
26,2016-03,12.67741935483871,7.254838709677419,50.2,269.83870967741933,Magallanes
27,2016-04,7.996666666666667,3.6,30.2,248.6,Magallanes
28,2016-05,6.380645161290323,2.480645161290323,7.199999999999999,192.9032258064516,Magallanes
29,2016-06,6.716666666666667,3.6366666666666654,60.6,277.7,Magallanes
30,2016-07,4.451612903225806,0.9387096774193548,37.6,203.32258064516128,Magallanes
31,2016-08,4.751612903225807,0.0483870967741935,42.0,239.51612903225808,Magallanes
32,2016-09,8.806666666666667,3.353333333333333,9.2,254.86666666666667,Magallanes
33,2016-10,10.138709677419357,4.145161290322581,30.4,244.83870967741936,Magallanes
34,2016-11,10.793333333333331,5.363333333333333,46.6,278.6666666666667,Magallanes
35,2016-12,11.567741935483872,6.206451612903226,65.9,270.5483870967742,Magallanes
36,2017-01,12.351612903225806,6.15483870967742,117.7,284.741935483871,Magallanes
37,2017-02,13.771428571428572,7.125,93.6,291.92857142857144,Magallanes
38,2017-03,12.30967741935484,5.935483870967742,60.6,217.0,Magallanes
39,2017-04,9.763333333333332,3.96,75.7,255.16666666666663,Magallanes
40,2017-05,6.919354838709677,2.238709677419355,67.6,250.9032258064516,Magallanes
41,2017-06,3.023333333333333,-1.83,41.9,278.26666666666665,Magallanes
42,2017-07,5.483870967741935,1.4548387096774194,65.4,270.3225806451613,Magallanes
43,2017-08,5.241935483870968,1.1548387096774193,94.8,251.5483870967742,Magallanes
44,2017-09,6.616666666666666,1.4633333333333334,77.9,270.06666666666666,Magallanes
45,2017-10,8.790322580645162,2.774193548387097,95.6,276.2903225806452,Magallanes
46,2017-11,11.213333333333331,4.7,101.9,250.36666666666667,Magallanes
47,2017-12,11.406451612903227,4.916129032258064,102.3,285.96774193548384,Magallanes
48,2018-01,13.358064516129032,7.406451612903226,103.4,288.5806451612903,Magallanes
49,2018-02,13.607142857142858,7.189285714285715,74.7,286.67857142857144,Magallanes
50,2018-03,10.348387096774196,4.729032258064516,88.7,295.1290322580645,Magallanes
51,2018-04,7.506666666666666,2.4366666666666665,165.1,280.76666666666665,Magallanes
52,2018-05,5.800000000000001,1.635483870967742,66.8,237.1935483870968,Magallanes
53,2018-06,3.5900000000000003,-0.61,60.7,258.3333333333333,Magallanes
54,2018-07,2.764516129032258,-1.632258064516129,44.7,252.4193548387097,Magallanes
55,2018-08,5.280645161290322,0.867741935483871,63.3,262.258064516129,Magallanes
56,2018-09,6.166666666666667,0.1466666666666667,66.4,258.26666666666665,Magallanes
57,2018-10,8.803225806451612,2.467741935483871,51.5,244.67741935483872,Magallanes
58,2018-11,10.846666666666666,4.17,74.8,291.1,Magallanes
59,2018-12,12.86451612903226,6.106451612903226,78.0,288.7096774193548,Magallanes
60,2019-01,11.538709677419355,5.467741935483871,65.7,282.7741935483871,Magallanes
61,2019-02,13.096428571428572,6.025,55.2,272.32142857142856,Magallanes
62,2019-03,12.070967741935483,6.741935483870968,84.0,271.9032258064516,Magallanes
63,2019-04,9.066666666666666,3.883333333333333,133.79999999999998,279.56666666666666,Magallanes
64,2019-05,7.429032258064517,2.5935483870967744,78.3,270.16129032258067,Magallanes
65,2019-06,4.573333333333333,0.4766666666666667,79.6,237.7,Magallanes
66,2019-07,4.574193548387097,0.9225806451612903,111.2,209.4516129032258,Magallanes
67,2019-08,4.548387096774194,-0.2193548387096774,61.4,250.4516129032258,Magallanes
