,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
40,2017-05-01,8458.0,6288.0,6182.0,43.0,74.34,4.27,3.69,1164.0,272.84,5.31,14.003225806451614,5.858064516129032,124.9,False,False,True,False,False,5,2,8108.0,8334.0,7590.0,8300.0,350.0,0.7434381650508395,6287.0,270.65,1168.3333333333333,40.666666666666664,8.145161290322582,19.926021505376344,59.833333333333336,10.410532498340949,1056404.2,8432.0,7698.727272727273
41,2017-06-01,8221.0,6544.0,6309.0,55.0,79.6,4.16,4.82,1141.0,274.03,5.53,11.686666666666667,4.069999999999999,239.2,False,False,True,False,False,6,2,8458.0,8108.0,8334.0,8262.333333333334,-237.0,0.7960102177350687,6315.666666666667,272.37999999999994,1139.3333333333333,48.0,7.616666666666668,15.23663082437276,138.9333333333333,9.302706077930504,1966463.2,8362.0,7490.0
42,2017-07-01,8513.0,6741.0,6526.0,45.0,79.18,4.12,3.98,1131.0,274.61,5.77,11.296774193548387,2.3225806451612905,77.7,False,False,True,False,False,7,3,8221.0,8458.0,8108.0,8397.333333333334,292.0,0.7918477622459767,6524.333333333333,273.82666666666665,1145.3333333333333,47.666666666666664,8.974193548387097,12.328888888888889,147.26666666666668,8.94532536575939,661460.1,8707.0,7751.0
43,2017-08-01,8418.0,6584.0,7050.0,34.0,78.21,4.53,2.77,1229.0,271.55,5.74,12.158064516129032,3.870967741935484,173.1,False,False,True,False,False,8,3,8513.0,8221.0,8458.0,8384.0,-95.0,0.7821335234022333,6623.0,273.3966666666667,1167.0,44.666666666666664,8.287096774193548,11.713835125448028,163.33333333333331,9.509229837751668,1457155.8,8565.0,7813.363636363636
44,2017-09-01,7904.0,6196.0,5969.0,38.0,78.39,4.11,3.51,1082.0,263.47,5.52,15.033333333333331,5.026666666666667,70.19999999999999,False,False,False,True,False,9,3,8418.0,8513.0,8221.0,8278.333333333334,-514.0,0.7839068825910931,6507.0,269.8766666666667,1147.3333333333333,39.0,10.006666666666664,12.829390681003582,107.0,11.784733468286097,554860.7999999999,8271.0,7411.454545454545
45,2017-10-01,8141.0,6255.0,6090.0,31.0,76.83,4.18,2.83,1097.0,262.61,5.55,17.348387096774193,6.380645161290323,34.6,False,False,False,False,True,10,4,7904.0,8418.0,8513.0,8154.333333333333,237.0,0.7683331286082791,6345.0,265.8766666666667,1136.0,34.333333333333336,10.96774193548387,14.846594982078853,92.63333333333333,13.329340534372015,281678.60000000003,8324.0,7649.090909090909
46,2017-11-01,7989.0,5672.0,6950.0,35.0,71.0,3.97,3.31,1056.0,266.3,6.58,23.2,10.196666666666664,49.0,False,False,False,True,False,11,4,8141.0,7904.0,8418.0,8011.333333333333,-152.0,0.7099762172987858,6041.0,264.1266666666667,1078.3333333333333,34.666666666666664,13.003333333333336,18.527240143369173,51.26666666666665,16.47144824133183,391461.0,8152.0,7437.272727272727
47,2017-12-01,8055.0,5973.0,5864.0,36.0,74.15,4.26,3.25,1106.0,259.84,5.3,27.538709677419355,12.98709677419355,0.5,False,False,False,True,False,12,4,7989.0,8141.0,7904.0,8061.666666666667,66.0,0.7415270018621974,5966.666666666667,262.9166666666667,1086.3333333333333,34.0,14.551612903225806,22.695698924731186,28.03333333333332,20.420696822250257,4027.5,8331.0,7620.545454545455
48,2018-01-01,7994.0,5696.0,5548.0,27.0,71.25,4.1,2.55,1058.0,257.87,5.24,28.516129032258064,14.158064516129032,2.3,False,False,False,False,True,1,1,8055.0,7989.0,8141.0,8012.666666666667,-61.0,0.7125344008006005,5780.333333333333,261.33666666666664,1073.3333333333333,32.666666666666664,14.358064516129032,26.418279569892473,17.266666666666655,20.31872291315261,18386.199999999997,8522.0,7691.25
49,2018-02-01,7191.0,5030.0,5218.0,22.0,69.95,3.78,2.27,970.0,256.82,5.38,28.735714285714288,14.257142857142856,6.1,False,False,False,False,True,2,1,7994.0,8055.0,7989.0,7746.666666666667,-803.0,0.6994854679460437,5566.333333333333,258.1766666666667,1044.6666666666667,28.333333333333332,14.478571428571431,28.263517665130568,2.9666666666666566,20.10021455390667,43865.1,7590.0,7014.0
50,2018-03-01,7956.0,6018.0,5771.0,34.0,75.64,4.26,3.11,1094.0,256.65,5.28,24.538709677419355,11.306451612903226,29.1,False,False,False,True,False,3,1,7191.0,7994.0,8055.0,7713.666666666667,765.0,0.7564102564102564,5581.333333333333,257.11333333333334,1040.6666666666667,27.666666666666668,13.23225806451613,27.263517665130568,12.499999999999991,18.561331679073614,231519.6,8334.0,7750.909090909091
51,2018-04-01,7713.0,5782.0,5887.0,32.0,74.96,4.04,3.08,1038.0,257.1,5.67,18.73,8.223333333333334,44.4,False,False,False,True,False,4,2,7956.0,7191.0,7994.0,7620.0,-243.0,0.7496434590950344,5610.0,256.8566666666667,1034.0,29.333333333333332,10.506666666666666,24.001474654377883,26.53333333333332,14.040821988849995,342457.2,8108.0,7462.090909090909
52,2018-05-01,7966.0,5462.0,5690.0,50.0,68.57,4.02,4.84,1032.0,256.97,5.51,14.658064516129032,6.341935483870968,65.5,False,True,False,False,False,5,2,7713.0,7956.0,7191.0,7878.333333333333,253.0,0.6856640723073061,5754.0,256.9066666666667,1054.6666666666667,38.666666666666664,8.316129032258065,19.308924731182795,46.333333333333314,10.050508208272255,521773.0,8458.0,7698.727272727273
53,2018-06-01,7743.0,5686.0,6001.0,49.0,73.43,4.2,4.52,1085.0,258.1,5.53,11.15,2.953333333333333,89.9,False,False,True,False,False,6,2,7966.0,7713.0,7956.0,7807.333333333333,-223.0,0.7343406948211287,5643.333333333333,257.39000000000004,1051.6666666666667,43.666666666666664,8.196666666666667,14.846021505376347,66.59999999999998,8.187898747255586,696095.7000000001,8221.0,7490.0
54,2018-07-01,8180.0,6100.0,6028.0,50.0,74.57,4.52,4.19,1192.0,263.87,5.06,11.30967741935484,2.3774193548387097,66.30000000000001,False,False,True,False,False,7,3,7743.0,7966.0,7713.0,7963.0,437.0,0.7457212713936431,5749.333333333333,259.6466666666667,1103.0,49.666666666666664,8.93225806451613,12.37258064516129,73.89999999999999,8.433867024213267,542334.0000000001,8513.0,7751.0
55,2018-08-01,8184.0,6074.0,6271.0,41.0,74.22,4.97,3.13,1312.0,264.0,4.78,12.87741935483871,2.7225806451612904,59.6,False,True,False,False,False,8,3,8180.0,7743.0,7966.0,8035.666666666667,4.0,0.7421798631476051,5953.333333333333,261.99,1196.3333333333333,46.666666666666664,10.154838709677419,11.779032258064518,71.93333333333332,9.557361334468514,487766.4,8418.0,7813.363636363636
56,2018-09-01,7914.0,5583.0,5220.0,34.0,70.55,3.82,3.37,1008.0,263.8,5.18,15.38,6.286666666666666,93.2,False,False,False,True,False,9,3,8184.0,8180.0,7743.0,8092.666666666667,-270.0,0.7054586808188021,5919.0,263.89000000000004,1170.6666666666667,41.666666666666664,9.093333333333334,13.189032258064517,73.03333333333332,10.849954510993177,737584.8,7904.0,7411.454545454545
57,2018-10-01,8184.0,5885.0,6025.0,34.0,71.91,4.32,2.98,1141.0,264.0,5.28,17.603225806451615,6.564516129032258,51.8,False,False,False,True,False,10,4,7914.0,8184.0,8180.0,8094.0,270.0,0.7190860215053764,5847.333333333333,263.93333333333334,1153.6666666666667,36.333333333333336,11.038709677419357,15.286881720430108,68.19999999999999,12.658233610822062,423931.19999999995,8141.0,7649.090909090909
58,2018-11-01,7830.0,5597.0,6089.0,33.0,71.48,4.19,3.02,1094.0,261.0,5.57,22.45,9.663333333333332,32.3,False,True,False,False,False,11,4,8184.0,7914.0,8184.0,7976.0,-354.0,0.7148148148148148,5688.333333333333,262.93333333333334,1081.0,33.666666666666664,12.786666666666667,18.477741935483873,59.09999999999999,16.04759259259259,252908.99999999997,7989.0,7437.272727272727
59,2018-12-01,8091.0,5474.0,5119.0,45.0,67.66,4.1,4.21,1070.0,261.0,4.78,27.335483870967742,12.403225806451612,0.6,False,False,False,False,True,12,4,7830.0,8184.0,7914.0,8035.0,261.0,0.6765541960202694,5652.0,262.0,1101.6666666666667,37.333333333333336,14.93225806451613,22.462903225806453,28.23333333333331,18.493936313147625,4854.599999999999,8055.0,7620.545454545455
60,2019-01-01,7926.0,5463.0,5486.0,33.0,68.93,4.26,3.03,1089.0,255.68,5.04,28.580645161290324,13.212903225806452,1.7,False,False,False,True,False,1,1,8091.0,7830.0,8184.0,7949.0,-165.0,0.6892505677517032,5511.333333333333,259.2266666666667,1084.3333333333333,37.0,15.367741935483872,26.12204301075269,11.533333333333312,19.699225904129325,13474.199999999999,7994.0,7691.25
61,2019-02-01,7171.0,5716.0,5547.0,28.0,79.71,4.33,2.53,1108.0,256.11,5.01,28.65,14.039285714285716,3.6,False,False,False,False,True,2,1,7926.0,8091.0,7830.0,7729.333333333333,-755.0,0.7970994282526844,5551.0,257.5966666666667,1089.0,35.333333333333336,14.610714285714282,28.188709677419354,1.966666666666648,22.836898619439406,25815.600000000002,7191.0,7014.0
62,2019-03-01,7990.0,6083.0,6224.0,43.0,76.13,4.69,3.55,1210.0,257.74,5.14,25.08709677419355,10.806451612903226,3.9,False,False,False,True,False,3,1,7171.0,7926.0,8091.0,7695.666666666667,819.0,0.7613266583229036,5754.0,256.51,1135.6666666666667,34.666666666666664,14.280645161290325,27.43924731182796,3.0666666666666473,19.09947555412007,31161.0,7956.0,7750.909090909091
63,2019-04-01,7822.0,5772.0,5681.0,42.0,73.79,4.41,3.66,1149.0,260.73,4.94,19.696666666666665,8.383333333333333,7.4,False,False,False,True,False,4,2,7990.0,7171.0,7926.0,7661.0,-168.0,0.7379186908718998,5857.0,258.1933333333333,1155.6666666666667,37.666666666666664,11.313333333333333,24.477921146953406,4.966666666666648,14.534538481206852,57882.8,7713.0,7462.090909090909
64,2019-05-01,8078.0,5906.0,5886.0,35.0,73.11,4.32,3.11,1127.0,260.58,5.22,14.070967741935483,6.341935483870968,146.8,False,False,True,False,False,5,2,7822.0,7990.0,7171.0,7963.333333333333,256.0,0.7311215647437485,5920.333333333333,259.68333333333334,1162.0,40.0,7.729032258064516,19.618243727598568,52.69999999999999,10.28758795294268,1185850.4000000001,7966.0,7698.727272727273
65,2019-06-01,7767.0,5771.0,5582.0,41.0,74.3,3.97,3.99,1027.0,258.9,5.44,12.073333333333332,4.096666666666667,132.6,False,False,True,False,False,6,2,8078.0,7822.0,7990.0,7889.0,-311.0,0.7430153212308485,5816.333333333333,260.07,1101.0,39.333333333333336,7.976666666666666,15.28032258064516,95.59999999999998,8.970671644993777,1029904.2,7743.0,7490.0
66,2019-07-01,8157.0,6477.0,6656.0,41.0,79.4,4.29,3.63,1130.0,263.13,5.89,12.093548387096773,3.2290322580645165,66.0,False,False,True,False,False,7,3,7767.0,8078.0,7822.0,8000.666666666667,390.0,0.7940419271791099,6051.333333333333,260.87,1094.6666666666667,39.0,8.864516129032257,12.74594982078853,115.13333333333333,9.602784467724138,538362.0,8180.0,7751.0
67,2019-08-01,8067.0,6122.0,6055.0,51.0,75.89,4.38,4.47,1140.0,260.23,5.31,13.709677419354838,3.909677419354839,29.5,False,True,False,False,False,8,3,8157.0,7767.0,8078.0,7997.0,-90.0,0.7588942605677451,6123.333333333333,260.75333333333333,1099.0,44.333333333333336,9.799999999999999,12.625519713261648,76.03333333333332,10.404195507783601,237976.5,8184.0,7813.363636363636
68,2019-09-01,7719.0,5831.0,5860.0,43.0,75.54,4.08,4.1,1050.0,257.3,5.58,14.883333333333333,5.036666666666666,76.4,False,False,False,True,False,9,3,8067.0,8157.0,7767.0,7981.0,-348.0,0.7554087317009975,6143.333333333333,260.22,1106.6666666666667,45.0,9.846666666666668,13.562186379928315,57.29999999999998,11.242999956816513,589731.6000000001,7914.0,7411.454545454545
69,2019-10-01,7936.0,6081.0,6284.0,36.0,76.63,4.8,2.93,1229.0,256.0,5.11,18.45483870967742,6.97741935483871,43.900000000000006,False,False,False,True,False,10,4,7719.0,8067.0,8157.0,7907.333333333333,217.0,0.7662550403225806,6011.333333333333,257.8433333333333,1139.6666666666667,43.333333333333336,11.477419354838712,15.682616487455197,49.933333333333316,14.141113179630594,348390.4,8184.0,7649.090909090909
70,2019-11-01,7767.0,5942.0,6222.0,41.0,76.5,4.33,3.66,1120.0,258.9,5.56,25.92,10.676666666666668,0.7,False,False,False,True,False,11,4,7936.0,7719.0,8067.0,7807.333333333333,-169.0,0.7650315437105704,5951.333333333333,257.40000000000003,1133.0,40.0,15.243333333333334,19.752724014336916,40.33333333333332,19.829617612977984,5436.9,7830.0,7437.272727272727
71,2019-12-01,8104.0,6098.0,6007.0,49.0,75.25,4.62,4.05,1209.0,261.42,4.97,28.96451612903226,12.896774193548389,2.7,False,False,False,True,False,12,4,7767.0,7936.0,7719.0,7935.666666666667,337.0,0.7524679170779862,6040.333333333333,258.77333333333337,1186.0,42.0,16.06774193548387,24.44645161290323,15.76666666666665,21.79486912078464,21880.800000000003,8091.0,7620.545454545455
72,2020-01-01,8168.0,6318.0,6303.0,34.0,77.35,4.66,2.77,1229.0,263.48,5.13,30.85483870967742,14.483870967741936,0.0,False,False,False,True,False,1,1,8104.0,7767.0,7936.0,8013.0,64.0,0.7735063663075417,6119.333333333333,261.26666666666665,1186.0,41.333333333333336,16.370967741935484,28.57978494623656,1.1333333333333144,23.866414173327858,0.0,7926.0,7691.25
73,2020-02-01,7692.0,5862.0,5589.0,29.0,76.21,4.02,2.72,1067.0,265.24,5.24,29.957142857142856,13.757142857142856,0.0,False,False,False,True,False,2,1,8168.0,8104.0,7767.0,7988.0,-476.0,0.7620904836193447,6092.666666666667,263.38000000000005,1168.3333333333333,37.333333333333336,16.2,29.92549923195084,0.8999999999999811,22.830053487853796,0.0,7171.0,7014.0
74,2020-03-01,8060.0,4919.0,5906.0,37.0,61.03,3.77,3.78,979.0,260.0,6.03,28.022580645161288,12.803225806451612,0.0,False,False,False,False,True,3,1,7692.0,8168.0,8104.0,7973.333333333333,368.0,0.6102977667493796,5699.666666666667,262.9066666666667,1091.6666666666667,33.333333333333336,15.219354838709675,29.611520737327186,0.0,17.102118386296322,0.0,7990.0,7750.909090909091
75,2020-04-01,7454.0,3838.0,3893.0,27.0,51.49,2.93,3.71,728.0,248.47,5.35,22.46333333333333,9.443333333333332,23.3,False,False,False,True,False,4,2,8060.0,7692.0,8168.0,7735.333333333333,-606.0,0.5148913335122082,4873.0,257.90333333333336,924.6666666666666,31.0,13.02,26.814352278545826,7.766666666666648,11.566175655129236,173678.2,7822.0,7462.090909090909
76,2020-05-01,7428.0,4240.0,4163.0,28.0,57.08,3.04,3.85,728.0,239.61,5.72,16.86774193548387,6.996774193548387,27.1,False,True,False,False,False,5,2,7454.0,8060.0,7692.0,7647.333333333333,-26.0,0.5708131394722671,4332.333333333333,249.36,811.6666666666666,30.666666666666668,9.870967741935484,22.451218637992827,16.799999999999983,9.628328730001563,201298.80000000002,8078.0,7698.727272727273
77,2020-06-01,6818.0,4200.0,3979.0,24.0,61.6,2.82,3.74,642.0,227.27,6.2,11.59,4.8100000000000005,335.1,True,False,False,False,False,6,2,7428.0,7454.0,8060.0,7233.333333333333,-610.0,0.6160164271047228,4092.6666666666665,238.45000000000002,699.3333333333334,26.333333333333332,6.779999999999999,16.9736917562724,128.5,7.139630390143737,2284711.8000000003,7767.0,7490.0
