,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,310.0,49.0,49.0,0.0,15.81,0.9,0.0,9.0,10.0,5.44,25.05483870967742,17.345161290322583,0.1,True,False,1,1,310.0,300.0,310.0,306.6666666666667,0.0,0.15806451612903225,32.333333333333336,10.0,7.666666666666667,0.0,7.709677419354836,23.880358422939068,0.20000000000000004,3.9602809573361077,31.0,310.0,294.5
13,2015-02-01,280.0,53.0,53.0,0.0,18.93,2.0,0.0,20.0,10.0,2.65,26.125,18.86428571428572,0.3,True,False,2,1,310.0,310.0,300.0,300.0,-30.0,0.18928571428571428,39.0,10.0,11.666666666666666,0.0,7.260714285714279,24.964247311827958,0.19999999999999998,4.945089285714285,84.0,280.0,268.3333333333333
14,2015-03-01,310.0,54.0,54.0,0.0,17.42,1.2,0.0,12.0,10.0,4.5,25.561290322580643,18.661290322580644,13.8,True,False,3,1,280.0,310.0,310.0,300.0,30.0,0.17419354838709677,52.0,10.0,13.666666666666666,0.0,6.899999999999999,25.58037634408602,4.733333333333333,4.45261186264308,4278.0,310.0,295.90909090909093
15,2015-04-01,300.0,32.0,32.0,0.0,10.67,1.0,0.0,10.0,10.0,3.2,23.74333333333333,16.95,2.5,True,False,4,2,310.0,280.0,310.0,296.6666666666667,-10.0,0.10666666666666667,46.333333333333336,10.0,14.0,0.0,6.7933333333333294,25.14320788530466,5.533333333333334,2.532622222222222,750.0,300.0,286.3636363636364
16,2015-05-01,310.0,40.0,40.0,0.0,12.9,1.2,0.0,12.0,10.0,3.33,22.687096774193545,15.50967741935484,1.2,True,False,5,2,300.0,310.0,280.0,306.6666666666667,10.0,0.12903225806451613,42.0,10.0,11.333333333333334,0.0,7.177419354838705,23.997240143369172,5.833333333333333,2.927367325702393,372.0,310.0,295.90909090909093
17,2015-06-01,300.0,60.0,60.0,0.0,20.0,1.7,0.0,17.0,10.0,3.53,21.816666666666663,13.983333333333333,0.2,True,False,6,2,310.0,300.0,310.0,303.3333333333333,-10.0,0.2,44.0,10.0,13.0,0.0,7.83333333333333,22.749032258064513,1.3,4.363333333333332,60.0,300.0,286.3636363636364
18,2015-07-01,310.0,87.0,87.0,0.0,28.06,0.8,0.0,8.0,10.0,10.88,21.0,12.63225806451613,2.1,True,False,7,3,300.0,310.0,300.0,306.6666666666667,10.0,0.2806451612903226,62.333333333333336,10.0,12.333333333333334,0.0,8.36774193548387,21.83458781362007,1.1666666666666667,5.893548387096774,651.0,310.0,295.90909090909093
19,2015-08-01,310.0,77.0,77.0,1.0,24.84,1.8,5.56,18.0,10.0,4.28,21.6483870967742,13.348387096774196,11.3,True,False,8,3,310.0,300.0,310.0,306.6666666666667,0.0,0.24838709677419354,74.66666666666667,10.0,14.333333333333334,0.3333333333333333,8.300000000000004,21.48835125448029,4.533333333333334,5.3771800208116565,3503.0,310.0,295.90909090909093
20,2015-09-01,300.0,47.0,47.0,0.0,15.67,1.4,0.0,14.0,10.0,3.36,23.16,14.396666666666668,0.5,True,False,9,3,310.0,310.0,300.0,306.6666666666667,-10.0,0.15666666666666668,70.33333333333333,10.0,13.333333333333334,0.3333333333333333,8.763333333333332,21.936129032258066,4.633333333333334,3.6284,150.0,300.0,286.3636363636364
21,2015-10-01,310.0,20.0,20.0,0.0,6.45,0.7,0.0,7.0,10.0,2.86,23.30967741935484,14.929032258064517,0.2,True,False,10,4,300.0,310.0,310.0,306.6666666666667,10.0,0.06451612903225806,48.0,10.0,13.0,0.3333333333333333,8.380645161290325,22.706021505376345,4.0,1.5038501560874091,62.0,310.0,294.1818181818182
22,2015-11-01,300.0,17.0,17.0,0.0,5.67,0.7,0.0,7.0,10.0,2.43,23.39333333333333,14.79,0.6000000000000001,True,False,11,4,310.0,300.0,310.0,303.3333333333333,-10.0,0.056666666666666664,28.0,10.0,9.333333333333334,0.0,8.603333333333332,23.287670250896056,0.43333333333333335,1.325622222222222,180.00000000000003,300.0,286.3636363636364
23,2015-12-01,310.0,144.0,144.0,1.0,46.45,1.8,5.56,18.0,10.0,8.0,25.06451612903226,16.664516129032258,0.9,True,False,12,4,300.0,310.0,300.0,306.6666666666667,10.0,0.4645161290322581,60.333333333333336,10.0,10.666666666666666,0.3333333333333333,8.400000000000002,23.922508960573477,0.5666666666666668,11.642872008324662,279.0,310.0,294.27272727272725
24,2016-01-01,310.0,33.0,33.0,0.0,10.65,1.0,0.0,10.0,10.0,3.3,26.161290322580644,18.096774193548388,0.2,True,False,1,1,310.0,300.0,310.0,306.6666666666667,0.0,0.1064516129032258,64.66666666666667,10.0,11.666666666666666,0.3333333333333333,8.064516129032256,24.873046594982082,0.5666666666666668,2.7849115504682618,62.0,310.0,294.5
