,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
43,2017-08-01,16661.0,15621.0,16111.0,62.0,93.76,3.96,2.92,2126.0,537.45,7.58,14.583870967741936,4.890322580645161,106.9,False,False,True,False,8,3,16621.0,16112.0,16554.0,16464.666666666668,40.0,0.9375787767841066,15553.333333333334,536.8933333333334,2113.0,67.0,9.693548387096776,14.403512544802867,90.5,13.67352790271273,1781060.9000000001,16683.0,17932.272727272728
44,2017-09-01,16137.0,15218.0,16020.0,73.0,94.31,4.0,3.39,2153.0,537.9,7.44,17.259999999999998,6.963333333333334,50.8,False,False,True,False,9,3,16661.0,16621.0,16112.0,16473.0,-524.0,0.9430501332341823,15570.666666666666,537.17,2137.6666666666665,68.66666666666667,10.296666666666663,15.447956989247311,71.5,16.277045299621985,819759.6,16142.0,17249.272727272728
45,2017-10-01,16641.0,15918.0,16840.0,74.0,95.66,4.16,3.31,2234.0,536.81,7.54,19.9,8.103225806451613,38.5,False,False,True,False,10,4,16137.0,16661.0,16621.0,16479.666666666668,504.0,0.9565530917613124,15585.666666666666,537.3866666666667,2171.0,69.66666666666667,11.796774193548385,17.24795698924731,65.39999999999999,19.035406526050117,640678.5,16623.0,17788.727272727272
46,2017-11-01,16125.0,15285.0,14764.0,51.0,94.79,3.96,2.39,2131.0,537.5,6.93,25.12333333333333,11.5,9.9,False,False,True,False,11,4,16641.0,16137.0,16661.0,16301.0,-516.0,0.947906976744186,15473.666666666666,537.4033333333333,2172.6666666666665,66.0,13.623333333333331,20.76111111111111,33.06666666666667,23.81458294573643,159637.5,16056.0,17169.454545454544
47,2017-12-01,16668.0,15858.0,17530.0,63.0,95.14,4.28,2.74,2299.0,537.68,7.63,27.77741935483871,13.770967741935484,2.7,False,False,True,False,12,4,16125.0,16641.0,16137.0,16478.0,543.0,0.9514038876889849,15687.0,537.3299999999999,2221.3333333333335,62.666666666666664,14.006451612903225,24.266917562724014,17.033333333333335,26.427544764160803,45003.600000000006,16659.0,17744.363636363636
48,2018-01-01,16663.0,15743.0,15519.0,60.0,94.48,4.16,2.68,2236.0,537.52,6.94,28.532258064516128,14.738709677419354,2.3000000000000003,False,False,True,False,1,1,16668.0,16125.0,16641.0,16485.333333333332,-5.0,0.9447878533277321,15628.666666666666,537.5666666666666,2222.0,58.0,13.793548387096774,27.144336917562722,4.966666666666667,26.956930847367065,38324.9,16679.0,17863.833333333332
49,2018-02-01,15092.0,14347.0,14287.0,58.0,95.06,3.81,2.82,2055.0,539.0,6.95,28.625,15.00357142857143,1.1,False,False,True,False,2,1,16663.0,16668.0,16125.0,16141.0,-1571.0,0.9506360985952823,15316.0,538.0666666666666,2196.6666666666665,60.333333333333336,13.62142857142857,28.311559139784944,2.0333333333333337,27.211958322289956,16601.2,15039.0,16019.583333333334
50,2018-03-01,16664.0,15671.0,15919.0,68.0,94.04,4.33,2.92,2328.0,537.55,6.84,26.72258064516129,12.37741935483871,3.1,False,False,True,False,3,1,15092.0,16663.0,16668.0,16139.666666666666,1572.0,0.9404104656745079,15253.666666666666,538.0233333333334,2206.3333333333335,62.0,14.345161290322581,27.959946236559137,2.1666666666666665,25.130194508540722,51658.4,16663.0,17638.636363636364
51,2018-04-01,16080.0,15384.0,16047.0,66.0,95.67,4.17,2.95,2236.0,536.0,7.18,23.32333333333333,9.943333333333332,2.1,False,False,True,False,4,2,16664.0,15092.0,16663.0,15945.333333333334,-584.0,0.9567164179104478,15134.0,537.5166666666668,2206.3333333333335,64.0,13.379999999999999,26.223637992831538,2.1,22.31381592039801,33768.0,16022.0,17000.090909090908
52,2018-05-01,16662.0,16026.0,15915.0,65.0,96.18,4.07,2.97,2185.0,537.48,7.28,19.635483870967743,8.625806451612902,25.2,False,False,True,False,5,2,16080.0,16664.0,15092.0,16468.666666666668,582.0,0.9618293122074181,15693.666666666666,537.0100000000001,2249.6666666666665,66.33333333333333,11.00967741935484,23.227132616487452,10.133333333333333,18.885983946472756,419882.39999999997,16554.0,17573.363636363636
53,2018-06-01,16128.0,15490.0,15930.0,66.0,96.04,4.08,3.01,2194.0,537.6,7.26,14.956666666666669,4.373333333333333,66.5,False,False,False,True,6,2,16662.0,16080.0,16664.0,16290.0,-534.0,0.9604414682539683,15633.333333333334,537.0266666666666,2205.0,65.66666666666667,10.583333333333336,19.30516129032258,31.266666666666666,14.36500289351852,1072512.0,16112.0,17181.0
