,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,3924.0,2851.0,2549.0,7.0,72.66,4.8,1.15,608.0,126.58,4.19,18.82903225806452,10.78064516129032,18.2,False,False,True,False,1,1,3732.0,3871.0,3999.0,3842.3333333333335,192.0,0.7265545361875637,2842.6666666666665,125.33333333333333,578.3333333333334,9.0,8.0483870967742,16.131075268817206,51.83333333333332,13.680318799118742,71416.8,3999.0,3933.0
13,2015-02-01,3578.0,2605.0,2582.0,10.0,72.81,3.84,2.04,491.0,127.79,5.26,19.62857142857143,10.603571428571428,9.5,False,False,True,False,2,1,3924.0,3732.0,3871.0,3744.6666666666665,-346.0,0.728060368921185,2714.3333333333335,124.92,550.6666666666666,9.666666666666666,9.025000000000002,18.110599078341014,28.266666666666655,14.290784955681547,33991.0,3614.0,3590.0833333333335
14,2015-03-01,3966.0,3151.0,3276.0,12.0,79.45,5.07,1.85,649.0,127.94,5.05,18.02258064516129,10.264516129032256,86.7,False,False,False,True,3,1,3578.0,3924.0,3732.0,3822.6666666666665,388.0,0.7945032778618255,2869.0,127.43666666666667,582.6666666666666,9.666666666666666,7.758064516129036,18.826728110599078,38.133333333333326,14.31899939810974,343852.2,4003.0,3931.0
15,2015-04-01,3868.0,2917.0,3066.0,10.0,75.41,4.92,1.58,634.0,128.93,4.84,14.97,8.273333333333333,141.4,False,False,True,False,4,2,3966.0,3578.0,3924.0,3804.0,-98.0,0.7541365046535677,2891.0,128.22,591.3333333333334,10.666666666666666,6.696666666666667,17.540384024577573,79.19999999999999,11.28942347466391,546935.2000000001,3870.0,3811.090909090909
16,2015-05-01,3995.0,3007.0,2992.0,11.0,75.27,4.39,1.94,566.0,128.87,5.29,12.661290322580646,8.393548387096773,254.6,False,False,True,False,5,2,3868.0,3966.0,3578.0,3943.0,127.0,0.7526908635794743,3025.0,128.58,616.3333333333334,11.0,4.267741935483873,15.217956989247313,160.89999999999998,9.530037546933668,1017127.0,3998.0,3931.5454545454545
17,2015-06-01,3870.0,2900.0,2736.0,9.0,74.94,4.64,1.5,599.0,129.0,4.57,10.046666666666663,5.693333333333333,162.8,False,False,True,False,6,2,3995.0,3868.0,3966.0,3911.0,-125.0,0.7493540051679587,2941.3333333333335,128.9333333333333,599.6666666666666,10.0,4.35333333333333,12.559318996415769,186.26666666666665,7.528509905254089,630036.0,3869.0,3781.0
18,2015-07-01,3999.0,3091.0,3232.0,20.0,77.29,4.94,3.14,637.0,129.0,5.07,9.580645161290322,5.106451612903226,299.1,False,False,True,False,7,3,3870.0,3995.0,3868.0,3954.6666666666665,129.0,0.7729432358089522,2999.3333333333335,128.95666666666668,600.6666666666666,13.333333333333334,4.474193548387096,10.762867383512544,238.83333333333334,7.405294872105122,1196100.9000000001,4064.0,3907.2727272727275
19,2015-08-01,3998.0,3009.0,2953.0,15.0,75.26,4.39,2.65,566.0,128.97,5.22,10.235483870967744,5.003225806451613,215.6,False,True,False,False,8,3,3999.0,3870.0,3995.0,3955.6666666666665,-1.0,0.7526263131565782,3000.0,128.98999999999998,600.6666666666666,14.666666666666666,5.232258064516132,9.95426523297491,225.8333333333333,7.703494489180075,861968.7999999999,4154.0,3940.818181818182
20,2015-09-01,3940.0,3111.0,2977.0,12.0,78.96,4.54,2.01,596.0,131.33,4.99,10.68,4.963333333333334,69.3,False,False,True,False,9,3,3998.0,3999.0,3870.0,3979.0,-58.0,0.7895939086294417,3070.3333333333335,129.76666666666665,599.6666666666666,15.666666666666666,5.716666666666666,10.165376344086022,194.66666666666666,8.432862944162437,273042.0,3895.0,3834.090909090909
21,2015-10-01,3999.0,3109.0,3157.0,21.0,77.74,4.88,3.34,629.0,129.0,5.02,13.248387096774191,5.932258064516129,87.4,False,False,True,False,10,4,3940.0,3998.0,3999.0,3979.0,59.0,0.7774443610902726,3076.3333333333335,129.76666666666665,597.0,16.0,7.316129032258062,11.387956989247312,124.09999999999998,10.299883841928223,349512.60000000003,3999.0,3927.818181818182
22,2015-11-01,3869.0,2943.0,3160.0,9.0,76.07,4.88,1.43,629.0,128.97,5.02,14.96,7.81,69.2,False,False,True,False,11,4,3999.0,3940.0,3998.0,3936.0,-130.0,0.7606616696820884,3054.3333333333335,129.76666666666665,618.0,14.0,7.150000000000001,12.96279569892473,75.29999999999998,11.379498578444043,267734.8,3871.0,3749.090909090909
