,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
62,2019-03-01,2108.0,687.0,665.0,4.0,32.59,2.75,2.14,187.0,68.0,3.56,20.3,10.332258064516129,16.5,False,True,False,False,3,1,1904.0,2108.0,2108.0,2040.0,204.0,0.3259013282732448,663.3333333333334,68.0,167.66666666666666,3.0,9.967741935483872,21.63364055299539,15.733333333333372,6.6157969639468694,34782.0,2108.0,2033.1818181818182
63,2019-04-01,2040.0,597.0,656.0,4.0,29.26,2.37,2.48,161.0,68.0,4.07,17.653333333333332,9.06,12.0,False,True,False,False,4,2,2108.0,1904.0,2108.0,2017.3333333333333,-68.0,0.2926470588235294,648.3333333333334,68.0,164.33333333333334,3.0,8.593333333333332,20.065396825396824,10.533333333333372,5.166196078431373,24480.0,2040.0,2002.1818181818182
64,2019-05-01,2108.0,800.0,763.0,3.0,37.95,2.96,1.49,201.0,68.0,3.8,14.303225806451612,7.909677419354838,309.7,False,False,True,False,5,2,2040.0,2108.0,1904.0,2085.3333333333335,68.0,0.3795066413662239,694.6666666666666,68.0,183.0,3.6666666666666665,6.393548387096774,17.418853046594982,112.73333333333336,5.428169186509151,652847.6,2108.0,2044.4545454545455
65,2019-06-01,2108.0,789.0,744.0,9.0,37.43,2.68,4.79,188.0,70.27,3.96,12.293333333333331,6.79,383.4,False,False,True,False,6,2,2108.0,2040.0,2108.0,2085.3333333333335,0.0,0.3742884250474383,728.6666666666666,68.75666666666666,183.33333333333334,5.333333333333333,5.503333333333331,14.749964157706094,235.0333333333334,4.601252371916508,808207.2,2040.0,1993.3636363636363
66,2019-07-01,2108.0,747.0,767.0,7.0,35.44,2.47,4.17,168.0,68.0,4.57,12.422580645161291,6.283870967741936,240.0,False,True,False,False,7,3,2108.0,2108.0,2040.0,2108.0,0.0,0.3543643263757116,778.6666666666666,68.75666666666666,185.66666666666666,6.333333333333333,6.138709677419356,13.006379928315411,311.03333333333336,4.402119422170534,505920.0,2108.0,2006.1818181818182
67,2019-08-01,2108.0,906.0,846.0,4.0,42.98,2.94,2.0,200.0,68.0,4.23,13.067741935483872,5.132258064516129,122.1,False,True,False,False,8,3,2108.0,2108.0,2108.0,2108.0,0.0,0.4297912713472486,814.0,68.75666666666666,185.33333333333334,6.666666666666667,7.935483870967743,12.594551971326164,248.5,5.616401420089368,257386.8,2108.0,2004.8181818181818
68,2019-09-01,2108.0,761.0,751.0,4.0,36.1,2.42,2.35,170.0,70.27,4.42,14.256666666666666,5.796666666666667,92.6,False,True,False,False,9,3,2108.0,2108.0,2108.0,2108.0,0.0,0.3610056925996205,804.6666666666666,68.75666666666667,179.33333333333334,5.0,8.459999999999999,13.24899641577061,151.5666666666667,5.146737824161923,195200.8,2040.0,1943.8181818181818
69,2019-10-01,2108.0,909.0,917.0,3.0,43.12,2.88,1.53,196.0,68.0,4.68,15.506451612903223,6.72258064516129,88.8,False,False,False,True,10,4,2108.0,2108.0,2108.0,2108.0,0.0,0.4312144212523719,858.6666666666666,68.75666666666666,188.66666666666666,3.6666666666666665,8.783870967741933,14.27695340501792,101.1666666666667,6.686605557935972,187190.4,2108.0,2034.090909090909
70,2019-11-01,2040.0,746.0,768.0,3.0,36.57,2.57,1.71,175.0,68.0,4.39,19.42,9.51,38.2,False,False,False,True,11,4,2108.0,2108.0,2108.0,2085.3333333333335,-68.0,0.3656862745098039,805.3333333333334,68.75666666666666,180.33333333333334,3.3333333333333335,9.910000000000002,16.39437275985663,73.20000000000003,7.101627450980392,77928.0,2040.0,1953.2727272727273
71,2019-12-01,2108.0,730.0,725.0,2.0,34.63,2.78,1.06,189.0,68.0,3.84,22.40967741935484,10.929032258064517,4.800000000000001,False,False,False,True,12,4,2040.0,2108.0,2108.0,2085.3333333333335,68.0,0.34629981024667933,795.0,68.0,186.66666666666666,2.6666666666666665,11.480645161290322,19.112043010752686,43.93333333333337,7.760467038011876,10118.400000000001,2108.0,2016.090909090909
