,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_NW,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,16366.0,13227.0,12573.0,75.0,80.82,3.74,3.8,1974.0,527.94,6.37,19.68387096774193,14.848387096774196,0.0,False,False,False,True,False,1,1,16434.0,16210.0,16436.0,16336.666666666666,-68.0,0.8081999266772577,12926.666666666666,532.8000000000001,2042.6666666666667,77.0,4.835483870967735,17.95222222222222,1.8333333333333381,15.90850307285363,0.0,16721.0,14889.916666666666
13,2015-02-01,14746.0,11832.0,13086.0,68.0,80.24,3.66,3.53,1926.0,526.64,6.79,19.553571428571427,14.671428571428573,0.7999999999999999,False,False,False,True,False,2,1,16366.0,16434.0,16210.0,15848.666666666666,-1620.0,0.8023870880238709,12361.333333333334,528.2366666666667,1969.6666666666667,75.66666666666667,4.8821428571428545,19.01785714285714,0.5000000000000048,15.68953323903819,11796.8,14760.0,13398.333333333334
14,2015-03-01,16509.0,13901.0,13691.0,66.0,84.2,4.27,2.9,2275.0,532.55,6.02,20.19032258064516,15.23225806451613,5.1,False,False,False,True,False,3,1,14746.0,16366.0,16434.0,15873.666666666666,1763.0,0.8420255618147677,12986.666666666666,529.0433333333333,2058.3333333333335,69.66666666666667,4.9580645161290295,19.809254992319506,1.9666666666666712,17.00076771418913,84195.9,16404.0,14829.0
15,2015-04-01,15599.0,13164.0,13974.0,71.0,84.39,4.36,3.13,2265.0,519.97,6.17,18.25,13.036666666666669,0.0,False,False,False,True,False,4,2,16509.0,14746.0,16366.0,15618.0,-910.0,0.8439002500160266,12965.666666666666,526.3866666666667,2155.3333333333335,68.33333333333333,5.213333333333331,19.331298003072195,1.9666666666666712,15.401179562792485,0.0,16205.0,14277.818181818182
16,2015-05-01,15813.0,13063.0,12753.0,65.0,82.61,4.06,3.14,2072.0,510.1,6.15,15.887096774193548,10.448387096774193,1.8,False,False,False,True,False,5,2,15599.0,16509.0,14746.0,15973.666666666666,214.0,0.8260924555745273,13376.0,520.8733333333333,2204.0,67.33333333333333,5.4387096774193555,18.109139784946237,2.3000000000000047,13.1242107861437,28463.4,16687.0,14795.727272727272
17,2015-06-01,15259.0,13367.0,13500.0,78.0,87.6,4.26,3.6,2165.0,508.63,6.24,14.893333333333334,8.85,1.1,False,True,False,False,False,6,2,15813.0,15599.0,16509.0,15557.0,-554.0,0.876007602070909,13198.0,512.9,2167.3333333333335,71.33333333333333,6.043333333333335,16.343476702508962,0.9666666666666716,13.046673220176073,16784.9,16275.0,14336.454545454546
18,2015-07-01,15797.0,13937.0,15433.0,77.0,88.23,4.44,3.4,2262.0,509.58,6.82,13.087096774193547,8.293548387096775,68.3,False,True,False,False,False,7,3,15259.0,15813.0,15599.0,15623.0,538.0,0.8822561245806165,13455.666666666666,509.43666666666667,2166.3333333333335,73.33333333333333,4.793548387096772,14.622508960573475,23.733333333333338,11.546171282011487,1078935.0999999999,16506.0,14596.818181818182
19,2015-08-01,15721.0,13824.0,13533.0,88.0,87.93,4.42,3.93,2239.0,507.13,6.04,13.83548387096774,9.535483870967743,131.5,False,True,False,False,False,8,3,15797.0,15259.0,15813.0,15592.333333333334,-76.0,0.8793333757394568,13709.333333333334,508.44666666666666,2222.0,81.0,4.299999999999997,13.93863799283154,66.96666666666668,12.16600273724687,2067311.5,16377.0,14651.0
20,2015-09-01,15537.0,13072.0,15132.0,74.0,84.13,4.23,3.38,2191.0,517.9,6.91,14.35,9.94,48.8,False,False,False,True,False,9,3,15721.0,15797.0,15259.0,15685.0,-184.0,0.8413464632811997,13611.0,511.5366666666667,2230.6666666666665,79.66666666666667,4.41,13.757526881720429,82.86666666666667,12.073321748085215,758205.6,15723.0,14138.09090909091
21,2015-10-01,16016.0,13701.0,13809.0,66.0,85.55,4.29,2.98,2217.0,516.65,6.23,14.625806451612902,10.151612903225804,54.1,False,False,False,True,False,10,4,15537.0,15721.0,15797.0,15758.0,479.0,0.855457042957043,13532.333333333334,513.8933333333333,2215.6666666666665,76.0,4.474193548387099,14.27043010752688,78.13333333333334,12.511749137958814,866465.6,16436.0,14624.818181818182
22,2015-11-01,15459.0,13023.0,12982.0,63.0,84.24,4.04,3.02,2084.0,515.3,6.23,16.606666666666666,11.643333333333334,4.7,False,False,False,True,False,11,4,16016.0,15537.0,15721.0,15670.666666666666,-557.0,0.8424218901610713,13265.333333333334,516.6166666666667,2164.0,67.66666666666667,4.963333333333331,15.194157706093188,35.866666666666674,13.989819522608189,72657.3,16210.0,14160.0
23,2015-12-01,15893.0,12592.0,12946.0,70.0,79.23,3.84,3.56,1967.0,512.68,6.58,18.751612903225805,13.738709677419354,0.0,False,False,False,True,False,12,4,15459.0,16016.0,15537.0,15789.333333333334,434.0,0.7922984961932926,13105.333333333334,514.8766666666667,2089.3333333333335,66.33333333333333,5.0129032258064505,16.661362007168457,19.600000000000012,14.856874704424547,0.0,16434.0,14552.09090909091
