,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_NW,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,9773.0,8451.0,8089.0,44.0,86.47,3.98,3.51,1254.0,315.26,6.45,21.238709677419354,12.974193548387095,0.0,False,False,False,False,True,1,1,9766.0,9446.0,9744.0,9661.666666666666,7.0,0.8647293563900542,8337.666666666666,315.05333333333334,1244.3333333333333,35.0,8.264516129032259,20.425268817204298,0.13333333333333333,18.365735749910055,0.0,9684.0,9837.666666666666
13,2015-02-01,8823.0,7643.0,8161.0,29.0,86.63,3.53,2.61,1113.0,315.11,7.33,21.410714285714285,13.160714285714286,1.2000000000000002,False,False,False,False,True,2,1,9773.0,9766.0,9446.0,9454.0,-950.0,0.8662586421851978,8085.0,315.13333333333327,1212.0,35.0,8.249999999999998,20.97884024577573,0.4000000000000001,18.547216285358072,10587.600000000002,8758.0,8973.333333333334
14,2015-03-01,9739.0,8510.0,8677.0,40.0,87.38,3.87,3.29,1215.0,314.16,7.14,20.906451612903226,13.1,25.4,False,False,False,False,True,3,1,8823.0,9773.0,9766.0,9445.0,916.0,0.8738063456207003,8201.333333333334,314.8433333333333,1194.0,37.666666666666664,7.806451612903226,21.185291858678955,8.866666666666665,18.268190083766964,247370.59999999998,9741.0,9829.636363636364
15,2015-04-01,9465.0,8169.0,7650.0,36.0,86.31,3.77,3.03,1190.0,315.5,6.43,18.69,12.066666666666666,0.0,False,False,False,False,True,4,2,9739.0,8823.0,9773.0,9342.333333333334,-274.0,0.8630744849445325,8107.333333333333,314.92333333333335,1172.6666666666667,35.0,6.623333333333335,20.33572196620584,8.866666666666665,16.130862123613316,0.0,9423.0,9561.454545454546
16,2015-05-01,8613.0,7298.0,7166.0,47.0,84.73,3.55,4.77,986.0,277.84,7.27,17.39032258064516,9.883870967741936,0.0,False,False,False,True,False,5,2,9465.0,9739.0,8823.0,9272.333333333334,-852.0,0.8473238128410542,7992.333333333333,302.5,1130.3333333333333,41.0,7.506451612903225,18.995591397849463,8.466666666666667,14.73523443556814,0.0,9755.0,9751.09090909091
17,2015-06-01,9295.0,7799.0,8150.0,32.0,83.91,3.65,2.83,1131.0,309.83,7.21,17.163333333333334,7.946666666666667,0.0,False,False,True,False,False,6,2,8613.0,9465.0,9739.0,9124.333333333334,682.0,0.8390532544378698,7755.333333333333,301.0566666666667,1102.3333333333333,38.333333333333336,9.216666666666667,17.747885304659498,0.0,14.400950690335307,0.0,9415.0,9498.636363636364
18,2015-07-01,9741.0,8494.0,7763.0,40.0,87.2,3.75,3.4,1177.0,314.23,6.6,14.75483870967742,5.216129032258065,36.6,False,False,True,False,False,7,3,9295.0,8613.0,9465.0,9216.333333333334,446.0,0.8719843958525819,7863.666666666667,300.6333333333333,1098.0,39.666666666666664,9.538709677419355,16.436164874551974,12.200000000000001,12.865989118160355,356520.60000000003,9764.0,9828.90909090909
19,2015-08-01,9614.0,8490.0,8668.0,41.0,88.31,3.88,3.41,1204.0,310.13,7.2,14.97741935483871,6.158064516129032,74.2,False,False,True,False,False,8,3,9741.0,9295.0,8613.0,9550.0,-127.0,0.8830871645516954,8261.0,311.39666666666665,1170.6666666666667,37.666666666666664,8.819354838709678,15.631863799283154,36.93333333333334,13.226366790366201,713358.8,9756.0,9870.818181818182
20,2015-09-01,8808.0,7412.0,8024.0,35.0,84.15,3.88,3.07,1140.0,293.6,7.04,16.266666666666666,7.673333333333333,21.0,False,False,False,True,False,9,3,9614.0,9741.0,9295.0,9387.666666666666,-806.0,0.8415077202543143,8132.0,305.9866666666667,1173.6666666666667,38.666666666666664,8.593333333333334,15.332974910394265,43.93333333333334,13.688525582803512,184968.0,9432.0,9436.0
21,2015-10-01,8501.0,7452.0,7213.0,31.0,87.66,4.36,2.59,1196.0,274.23,6.03,16.593548387096774,8.13225806451613,52.7,False,False,False,False,True,10,4,8808.0,9614.0,9741.0,8974.333333333334,-307.0,0.8766027526173391,7784.666666666667,292.65333333333336,1180.0,35.666666666666664,8.461290322580645,15.945878136200717,49.300000000000004,14.54595019181804,448002.7,9744.0,9744.0
