,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,2201.0,1180.0,1067.0,6.0,53.61,3.77,2.24,268.0,71.0,3.98,18.82903225806452,10.78064516129032,18.2,False,False,True,False,1,1,2197.0,2126.0,2203.0,2174.6666666666665,4.0,0.5361199454793276,1293.0,70.91333333333334,283.0,5.0,8.0483870967742,16.131075268817206,51.83333333333332,10.094619747622051,40058.2,2174.0,2111.3333333333335
13,2015-02-01,1988.0,1173.0,1175.0,7.0,59.0,3.66,2.69,260.0,71.0,4.52,19.62857142857143,10.603571428571428,9.5,False,False,True,False,2,1,2201.0,2197.0,2126.0,2128.6666666666665,-213.0,0.5900402414486922,1185.3333333333333,70.95666666666666,264.6666666666667,5.666666666666667,9.025000000000002,18.110599078341014,28.266666666666655,11.581647025007188,18886.0,1962.0,1919.25
14,2015-03-01,2201.0,1347.0,1257.0,8.0,61.2,4.03,2.8,286.0,71.0,4.4,18.02258064516129,10.264516129032256,86.7,False,False,False,True,3,1,1988.0,2201.0,2197.0,2130.0,213.0,0.6119945479327579,1233.3333333333333,71.0,271.3333333333333,7.0,7.758064516129036,18.826728110599078,38.133333333333326,11.029721094517155,190826.7,2203.0,2123.7272727272725
15,2015-04-01,2130.0,1370.0,1388.0,1.0,64.32,3.86,0.36,274.0,71.0,5.07,14.97,8.273333333333333,141.4,False,False,True,False,4,2,2201.0,1988.0,2201.0,2106.3333333333335,-71.0,0.6431924882629108,1296.6666666666667,71.0,273.3333333333333,5.333333333333333,6.696666666666667,17.540384024577573,79.19999999999999,9.628591549295775,301182.0,2117.0,2044.5454545454545
16,2015-05-01,2182.0,1429.0,1198.0,9.0,65.49,3.52,3.63,248.0,70.39,4.83,12.661290322580646,8.393548387096773,254.6,False,False,True,False,5,2,2130.0,2201.0,1988.0,2171.0,52.0,0.654903758020165,1382.0,70.79666666666667,269.3333333333333,6.0,4.267741935483873,15.217956989247313,160.89999999999998,8.291926613642412,555537.2,2201.0,2131.2727272727275
17,2015-06-01,2130.0,1454.0,1798.0,4.0,68.26,3.87,1.45,275.0,71.0,6.54,10.046666666666663,5.693333333333333,162.8,False,False,True,False,6,2,2182.0,2130.0,2201.0,2147.3333333333335,-52.0,0.6826291079812207,1417.6666666666667,70.79666666666667,265.6666666666667,4.666666666666667,4.35333333333333,12.559318996415769,186.26666666666665,6.858147104851328,346764.0,2130.0,2079.2727272727275
18,2015-07-01,2195.0,1469.0,1546.0,5.0,66.92,4.29,1.64,304.0,70.81,5.09,9.580645161290322,5.106451612903226,299.1,False,False,True,False,7,3,2130.0,2182.0,2130.0,2169.0,65.0,0.669248291571754,1450.6666666666667,70.73333333333333,275.6666666666667,6.0,4.474193548387096,10.762867383512544,238.83333333333334,6.41183040634874,656524.5,2201.0,2146.2727272727275
19,2015-08-01,2207.0,1303.0,1163.0,12.0,59.04,3.93,4.29,280.0,71.19,4.15,10.235483870967744,5.003225806451613,215.6,False,True,False,False,8,3,2195.0,2130.0,2182.0,2177.3333333333335,12.0,0.5903942002718623,1408.6666666666667,71.0,286.3333333333333,7.0,5.232258064516132,9.95426523297491,225.8333333333333,6.042970314395546,475829.2,2198.0,2152.2727272727275
20,2015-09-01,2130.0,1441.0,1388.0,9.0,67.65,4.15,3.05,295.0,71.0,4.71,10.68,4.963333333333334,69.3,False,False,True,False,9,3,2207.0,2195.0,2130.0,2177.3333333333335,-77.0,0.6765258215962441,1404.3333333333333,71.0,293.0,8.666666666666666,5.716666666666666,10.165376344086022,194.66666666666666,7.225295774647886,147609.0,2131.0,2082.090909090909
21,2015-10-01,2201.0,1481.0,1575.0,8.0,67.29,4.55,2.48,323.0,71.0,4.88,13.248387096774191,5.932258064516129,87.4,False,False,True,False,10,4,2130.0,2207.0,2195.0,2179.3333333333335,71.0,0.6728759654702408,1408.3333333333333,71.06333333333333,299.3333333333333,9.666666666666666,7.316129032258062,11.387956989247312,124.09999999999998,8.914521258665413,192367.40000000002,2203.0,2122.090909090909
