,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NW,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
45,2017-10-01,4867.0,4074.0,3889.0,17.0,83.71,3.69,2.94,579.0,157.0,6.72,18.88064516129032,9.067741935483872,29.4,False,False,False,False,True,False,10,4,4689.0,4837.0,4842.0,4797.666666666667,178.0,0.8370659543866859,4106.0,156.44333333333336,596.0,21.666666666666668,9.81290322580645,17.156774193548387,35.03333333333334,15.804345261371845,143089.8,4956.0,4674.636363636364
46,2017-11-01,4758.0,3899.0,3959.0,20.0,81.95,3.97,3.18,629.0,158.6,6.29,20.826666666666664,11.796666666666663,7.4,False,False,False,False,False,True,11,4,4867.0,4689.0,4837.0,4771.333333333333,-109.0,0.8194619588062211,3969.6666666666665,157.29999999999998,601.0,19.0,9.030000000000001,18.995770609318996,15.433333333333332,17.066661062070896,35209.200000000004,4763.0,4537.727272727273
47,2017-12-01,4866.0,3975.0,4396.0,22.0,81.69,3.99,3.51,626.0,156.97,7.02,22.21935483870968,13.383870967741936,0.0,False,False,False,False,False,True,12,4,4758.0,4867.0,4689.0,4830.333333333333,108.0,0.8168927250308261,3982.6666666666665,157.52333333333334,611.3333333333334,19.666666666666668,8.835483870967744,20.64222222222222,12.266666666666666,18.15082932262042,0.0,4926.0,4715.727272727273
48,2018-01-01,4866.0,4010.0,4145.0,30.0,82.41,3.91,4.89,614.0,156.97,6.75,22.506451612903227,14.283870967741937,0.2,False,False,False,False,False,True,1,1,4866.0,4758.0,4867.0,4830.0,0.0,0.8240854911631731,3961.3333333333335,157.51333333333332,623.0,24.0,8.22258064516129,21.85082437275986,2.5333333333333337,18.547240231759545,973.2,4916.0,4732.916666666667
49,2018-02-01,4368.0,3622.0,3364.0,27.0,82.92,3.49,4.96,544.0,156.0,6.18,21.967857142857145,14.903571428571428,0.2,False,False,False,False,False,True,2,1,4866.0,4866.0,4758.0,4700.0,-498.0,0.8292124542124543,3869.0,156.64666666666665,594.6666666666666,26.333333333333332,7.064285714285717,22.231221198156685,0.13333333333333333,18.216020735217167,873.6,4380.0,4308.166666666667
50,2018-03-01,4829.0,3963.0,4320.0,14.0,82.07,4.18,2.15,651.0,155.77,6.64,22.59354838709677,12.680645161290323,2.6,False,False,False,False,False,True,3,1,4368.0,4866.0,4866.0,4687.666666666667,461.0,0.8206668047214745,3865.0,156.24666666666667,603.0,23.666666666666668,9.912903225806447,22.355952380952385,1.0,18.54177516215873,12555.4,4897.0,4739.636363636364
51,2018-04-01,4680.0,3835.0,3974.0,22.0,81.94,4.04,3.49,630.0,156.0,6.31,19.46333333333333,10.903333333333334,1.9,False,False,False,False,False,True,4,2,4829.0,4368.0,4866.0,4625.666666666667,-149.0,0.8194444444444444,3806.6666666666665,155.92333333333332,608.3333333333334,21.0,8.559999999999997,21.341579621095747,1.5666666666666664,15.949120370370368,8892.0,4739.0,4578.545454545455
52,2018-05-01,4837.0,4164.0,4002.0,24.0,86.09,4.49,3.43,700.0,156.03,5.72,18.26451612903226,9.035483870967743,36.2,False,False,True,False,False,False,5,2,4680.0,4829.0,4368.0,4782.0,157.0,0.8608641720074426,3987.3333333333335,155.9333333333333,660.3333333333334,20.0,9.229032258064516,20.107132616487455,13.566666666666668,15.723267554535935,175099.40000000002,4865.0,4715.909090909091
53,2018-06-01,4680.0,4062.0,3957.0,26.0,86.79,4.1,4.07,639.0,156.0,6.19,15.863333333333332,5.6,85.7,False,False,False,True,False,False,6,2,4837.0,4680.0,4829.0,4732.333333333333,-157.0,0.867948717948718,4020.3333333333335,156.01,656.3333333333334,24.0,10.263333333333332,17.863727598566307,41.26666666666667,13.768559829059829,401076.0,4733.0,4560.818181818182
54,2018-07-01,4840.0,4133.0,4047.0,34.0,85.39,4.14,5.26,646.0,156.13,6.26,14.709677419354838,5.890322580645161,85.0,False,False,False,True,False,False,7,3,4680.0,4837.0,4680.0,4785.666666666667,160.0,0.8539256198347107,4119.666666666667,156.0533333333333,661.6666666666666,28.0,8.819354838709678,16.279175627240143,68.96666666666667,12.560970407891228,411400.0,4842.0,4692.181818181818
