,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NE,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
50,2018-03-01,868.0,401.0,377.0,1.0,46.2,1.93,1.85,54.0,28.0,6.98,19.30967741935484,8.883870967741935,102.5,False,False,False,False,True,False,3,1,784.0,849.0,407.0,833.6666666666666,84.0,0.4619815668202765,417.6666666666667,27.796666666666667,51.0,0.6666666666666666,10.425806451612907,22.352419354838712,49.300000000000004,8.920715028987663,88970.0,863.0,757.6363636363636
51,2018-04-01,840.0,300.0,206.0,3.0,35.71,1.5,7.14,42.0,28.0,4.9,15.71,6.36,113.1,False,False,True,False,False,False,4,2,868.0,784.0,849.0,830.6666666666666,-28.0,0.35714285714285715,376.0,28.0,49.666666666666664,1.6666666666666667,9.350000000000001,19.74822580645161,79.73333333333333,5.610714285714286,95004.0,748.0,738.5454545454545
52,2018-05-01,868.0,377.0,291.0,2.0,43.43,1.57,4.55,44.0,28.0,6.61,13.435483870967742,6.474193548387096,144.6,False,False,True,False,False,False,5,2,840.0,868.0,784.0,858.6666666666666,28.0,0.434331797235023,359.3333333333333,28.0,46.666666666666664,2.0,6.961290322580646,16.151720430107527,120.06666666666668,5.835457856399583,125512.79999999999,866.0,766.0909090909091
53,2018-06-01,840.0,475.0,332.0,2.0,56.55,2.04,3.51,57.0,28.0,5.82,10.203333333333337,2.956666666666666,153.0,False,False,False,True,False,False,6,2,868.0,840.0,868.0,849.3333333333334,-28.0,0.5654761904761905,384.0,28.0,47.666666666666664,2.3333333333333335,7.246666666666671,13.11627240143369,136.9,5.769742063492065,128520.0,819.0,758.9090909090909
54,2018-07-01,843.0,543.0,836.0,4.0,64.41,2.61,5.63,71.0,27.19,11.77,10.774193548387096,2.967741935483871,66.5,False,False,False,True,False,False,7,3,840.0,868.0,840.0,850.3333333333334,3.0,0.6441281138790036,465.0,27.73,57.333333333333336,2.6666666666666665,7.806451612903225,11.471003584229388,121.36666666666667,6.939960968889909,56059.5,869.0,755.9090909090909
55,2018-08-01,865.0,490.0,490.0,7.0,56.65,3.26,7.69,91.0,27.9,5.38,11.729032258064516,3.429032258064516,121.1,False,False,False,True,False,False,8,3,843.0,840.0,868.0,849.3333333333334,22.0,0.5664739884393064,502.6666666666667,27.69666666666667,73.0,4.333333333333333,8.3,10.902186379928315,113.53333333333335,6.64419168375909,104751.5,801.0,760.1818181818181
56,2018-09-01,840.0,455.0,291.0,0.0,54.17,2.5,0.0,70.0,28.0,4.16,13.306666666666668,5.216666666666667,126.0,False,False,False,False,True,False,9,3,865.0,843.0,840.0,849.3333333333334,-25.0,0.5416666666666666,496.0,27.69666666666667,77.33333333333333,3.6666666666666665,8.090000000000002,11.936630824372758,104.53333333333335,7.207777777777778,105840.0,724.0,736.9090909090909
57,2018-10-01,868.0,438.0,331.0,0.0,50.46,2.79,0.0,78.0,28.0,4.24,14.9,5.761290322580645,106.7,False,False,False,False,True,False,10,4,840.0,865.0,843.0,857.6666666666666,28.0,0.5046082949308756,461.0,27.96666666666667,79.66666666666667,2.3333333333333335,9.138709677419357,13.311899641577059,117.93333333333334,7.518663594470046,92615.6,845.0,764.4545454545455
58,2018-11-01,840.0,408.0,459.0,1.0,48.57,2.07,1.72,58.0,28.0,7.91,17.30666666666667,7.31,107.4,False,False,False,False,True,False,11,4,868.0,840.0,865.0,849.3333333333334,-28.0,0.4857142857142857,433.6666666666667,28.0,68.66666666666667,0.3333333333333333,9.99666666666667,15.171111111111111,113.36666666666667,8.406095238095238,90216.0,712.0,735.3636363636364
59,2018-12-01,868.0,271.0,270.0,2.0,31.22,2.07,3.45,58.0,28.0,4.66,21.41935483870968,9.293548387096775,32.9,False,False,False,False,True,False,12,4,840.0,868.0,840.0,858.6666666666666,28.0,0.3122119815668203,372.3333333333333,28.0,64.66666666666667,1.0,12.125806451612904,17.875340501792113,82.33333333333334,6.687379218076409,28557.199999999997,407.0,713.3636363636364
60,2019-01-01,868.0,350.0,279.0,0.0,40.32,2.5,0.0,70.0,28.0,3.99,22.14516129032258,9.47741935483871,15.3,False,False,False,False,True,False,1,1,868.0,840.0,868.0,858.6666666666666,0.0,0.4032258064516129,343.0,28.0,62.0,1.0,12.66774193548387,20.290394265232973,51.866666666666674,8.929500520291363,13280.400000000001,849.0,760.5
61,2019-02-01,784.0,428.0,273.0,5.0,54.59,2.57,6.94,72.0,28.0,3.79,24.928571428571427,11.56785714285714,16.3,False,False,False,False,True,False,2,1,868.0,868.0,840.0,840.0,-84.0,0.5459183673469388,349.6666666666667,28.0,66.66666666666667,2.3333333333333335,13.360714285714288,22.831029185867894,21.50000000000001,13.608965014577258,12779.2,784.0,653.25
62,2019-03-01,775.0,401.0,359.0,3.0,51.74,2.92,4.11,73.0,25.0,4.92,21.05806451612903,9.04516129032258,22.5,False,False,True,False,False,False,3,1,784.0,868.0,868.0,809.0,-9.0,0.5174193548387097,393.0,27.0,71.66666666666667,2.6666666666666665,12.012903225806449,22.71059907834101,18.033333333333342,10.895850156087407,17437.5,868.0,757.6363636363636
63,2019-04-01,840.0,400.0,337.0,3.0,47.62,2.68,4.0,75.0,28.0,4.49,17.596666666666668,7.739999999999999,31.6,False,False,True,False,False,False,4,2,775.0,784.0,868.0,799.6666666666666,65.0,0.47619047619047616,409.6666666666667,27.0,73.33333333333333,3.6666666666666665,9.85666666666667,21.19443420378904,23.46666666666668,8.37936507936508,26544.0,840.0,738.5454545454545
64,2019-05-01,868.0,551.0,394.0,5.0,63.48,2.93,6.1,82.0,28.0,4.8,13.64516129032258,6.554838709677419,134.4,False,False,False,True,False,False,5,2,840.0,775.0,784.0,827.6666666666666,28.0,0.6347926267281107,450.6666666666667,27.0,76.66666666666667,3.6666666666666665,7.090322580645161,17.433297491039426,62.83333333333335,8.661847777612607,116659.20000000001,868.0,766.0909090909091
65,2019-06-01,840.0,543.0,409.0,4.0,64.64,3.29,4.35,92.0,28.0,4.45,11.43,5.5,246.7,False,False,False,True,False,False,6,2,868.0,840.0,775.0,849.3333333333334,-28.0,0.6464285714285715,498.0,28.0,83.0,4.0,5.93,14.223942652329749,137.5666666666667,7.388678571428572,207228.0,840.0,758.9090909090909
66,2019-07-01,775.0,615.0,542.0,2.0,79.35,3.8,2.11,95.0,25.0,5.71,10.993548387096777,4.512903225806451,184.7,False,False,False,True,False,False,7,3,840.0,868.0,840.0,827.6666666666666,-65.0,0.7935483870967742,569.6666666666666,27.0,89.66666666666667,3.6666666666666665,6.480645161290325,12.02290322580645,188.6,8.72391259105099,143142.5,843.0,755.9090909090909
67,2019-08-01,868.0,574.0,457.0,1.0,66.13,3.04,1.18,85.0,28.0,5.38,12.103225806451611,4.054838709677419,93.3,False,False,False,True,False,False,8,3,775.0,840.0,868.0,827.6666666666666,93.0,0.6612903225806451,577.3333333333334,27.0,90.66666666666667,2.3333333333333335,8.048387096774192,11.508924731182795,174.9,8.003746097814775,80984.4,865.0,760.1818181818181
68,2019-09-01,843.0,446.0,345.0,2.0,52.91,2.7,2.63,76.0,28.1,4.54,13.156666666666666,4.27,40.6,False,False,True,False,False,False,9,3,868.0,775.0,840.0,828.6666666666666,-25.0,0.5290628706998813,545.0,27.03333333333333,85.33333333333333,1.6666666666666667,8.886666666666667,12.08448028673835,106.2,6.960703835508105,34225.8,840.0,736.9090909090909
69,2019-10-01,868.0,459.0,342.0,2.0,52.88,2.68,2.67,75.0,28.0,4.56,15.803225806451612,5.687096774193549,47.0,False,False,False,False,True,False,10,4,843.0,868.0,775.0,859.6666666666666,25.0,0.5288018433179723,493.0,28.03333333333333,78.66666666666667,1.6666666666666667,10.116129032258064,13.687706093189961,60.30000000000001,8.356774936821763,40796.0,868.0,764.4545454545455
70,2019-11-01,810.0,517.0,299.0,3.0,63.83,3.04,3.66,82.0,27.0,3.65,19.326666666666664,8.223333333333333,30.3,False,False,False,False,True,False,11,4,868.0,843.0,868.0,840.3333333333334,-58.0,0.6382716049382716,474.0,27.7,77.66666666666667,2.3333333333333335,11.103333333333332,16.09551971326165,39.30000000000001,12.335662551440327,24543.0,840.0,735.3636363636364
71,2019-12-01,837.0,404.0,471.0,1.0,48.27,2.37,1.56,64.0,27.0,7.36,21.89032258064516,9.783870967741937,14.0,False,False,False,False,True,False,12,4,810.0,868.0,843.0,838.3333333333334,27.0,0.4826762246117085,460.0,27.333333333333332,73.66666666666667,2.0,12.106451612903225,19.00673835125448,30.433333333333348,10.565938258758239,11718.0,868.0,713.3636363636364
72,2020-01-01,837.0,389.0,351.0,5.0,46.48,2.81,6.58,76.0,27.0,4.62,24.00967741935484,10.996774193548386,19.4,False,False,False,False,True,False,1,1,837.0,810.0,868.0,828.0,0.0,0.4647550776583035,436.6666666666667,27.0,74.0,3.0,13.012903225806454,21.74222222222222,21.233333333333345,11.158619493583075,16237.8,868.0,760.5
73,2020-02-01,783.0,412.0,298.0,3.0,52.62,2.59,4.29,70.0,27.0,4.26,23.932142857142857,10.960714285714284,26.5,False,False,False,False,True,False,2,1,837.0,837.0,810.0,819.0,-54.0,0.5261813537675607,401.6666666666667,27.0,70.0,3.0,12.971428571428573,23.277380952380952,19.96666666666668,12.592647327130086,20749.5,784.0,653.25
74,2020-03-01,837.0,278.0,217.0,0.0,33.21,1.56,0.0,42.0,27.0,5.17,22.961290322580645,10.94516129032258,10.8,False,False,True,False,False,False,3,1,783.0,837.0,837.0,819.0,54.0,0.3321385902031063,359.6666666666667,27.0,62.666666666666664,2.6666666666666665,12.016129032258064,23.634370199692782,18.90000000000001,7.626330596986164,9039.6,775.0,757.6363636363636
75,2020-04-01,810.0,156.0,41.0,0.0,19.26,0.52,0.0,14.0,27.0,2.93,18.78,8.073333333333334,38.7,False,False,False,True,False,False,4,2,837.0,783.0,837.0,810.0,-27.0,0.1925925925925926,282.0,27.0,42.0,1.0,10.706666666666667,21.891144393241166,25.333333333333343,3.616888888888889,31347.000000000004,840.0,738.5454545454545
76,2020-05-01,834.0,187.0,133.0,1.0,22.42,0.67,5.56,18.0,26.9,7.39,14.303225806451612,6.425806451612903,84.4,False,False,True,False,False,False,5,2,810.0,837.0,783.0,827.0,24.0,0.22422062350119903,207.0,26.96666666666667,24.666666666666668,0.3333333333333333,7.877419354838709,18.681505376344088,44.63333333333335,3.207078208401021,70389.6,868.0,766.0909090909091
77,2020-06-01,813.0,150.0,78.0,0.0,18.45,0.48,0.0,13.0,27.1,6.0,10.6,5.23,227.5,True,False,False,False,False,False,6,2,834.0,810.0,837.0,819.0,-21.0,0.18450184501845018,164.33333333333334,27.0,15.0,0.3333333333333333,5.369999999999999,14.561075268817204,116.86666666666667,1.955719557195572,184957.5,840.0,758.9090909090909
78,2020-07-01,744.0,170.0,242.0,3.0,22.85,1.29,9.68,31.0,24.0,7.81,10.516129032258064,3.948387096774194,246.5,False,False,False,True,False,False,7,3,813.0,834.0,810.0,797.0,-69.0,0.22849462365591397,169.0,26.0,20.666666666666668,1.3333333333333333,6.56774193548387,11.806451612903226,186.13333333333335,2.402878945542837,183396.0,775.0,755.9090909090909
79,2020-08-01,744.0,178.0,90.0,0.0,23.92,0.71,0.0,17.0,24.0,5.29,11.025806451612905,3.5903225806451613,90.5,False,False,True,False,False,False,8,3,744.0,813.0,834.0,767.0,0.0,0.239247311827957,166.0,25.03333333333333,20.333333333333332,1.0,7.435483870967744,10.713978494623655,188.16666666666666,2.637894554283733,67332.0,868.0,760.1818181818181
80,2020-09-01,720.0,175.0,151.0,0.0,24.31,1.04,0.0,25.0,24.0,6.04,13.133333333333333,4.29,53.4,False,False,True,False,False,False,9,3,744.0,744.0,813.0,736.0,-24.0,0.24305555555555555,174.33333333333334,24.0,24.333333333333332,1.0,8.843333333333334,11.5584229390681,130.13333333333333,3.1921296296296293,38448.0,843.0,736.9090909090909
81,2020-10-01,744.0,225.0,164.0,3.0,30.24,1.54,8.11,37.0,24.0,4.43,15.870967741935484,5.112903225806452,33.2,False,False,False,False,True,False,10,4,720.0,744.0,744.0,736.0,24.0,0.3024193548387097,192.66666666666666,24.0,26.333333333333332,1.0,10.758064516129032,13.34336917562724,59.03333333333333,4.799687825182102,24700.800000000003,868.0,764.4545454545455
82,2020-11-01,720.0,96.0,631.0,4.0,13.33,0.79,21.05,19.0,24.0,33.21,18.936666666666667,7.783333333333333,28.9,False,False,False,False,True,False,11,4,744.0,720.0,744.0,728.0,-24.0,0.13333333333333333,165.33333333333334,24.0,27.0,2.3333333333333335,11.153333333333334,15.98032258064516,38.5,2.524888888888889,20808.0,810.0,735.3636363636364
83,2020-12-01,744.0,148.0,112.0,1.0,19.89,1.13,3.7,27.0,24.0,4.15,20.661290322580644,8.983870967741936,44.3,False,False,False,False,True,False,12,4,720.0,744.0,720.0,736.0,24.0,0.1989247311827957,156.33333333333334,24.0,27.666666666666668,2.6666666666666665,11.677419354838708,18.489641577060933,35.46666666666667,4.110041623309053,32959.2,837.0,713.3636363636364
84,2021-01-01,434.0,194.0,169.0,1.0,44.7,2.21,3.23,31.0,14.0,5.45,22.851612903225806,10.425806451612903,44.0,False,False,False,False,True,False,1,1,744.0,720.0,744.0,632.6666666666666,-310.0,0.4470046082949309,146.0,20.666666666666668,25.666666666666668,2.0,12.425806451612903,20.816523297491038,39.06666666666666,10.21477627471384,19096.0,837.0,760.5
85,2021-02-01,392.0,136.0,76.0,0.0,34.69,1.21,0.0,17.0,14.0,4.47,24.210714285714285,10.99642857142857,9.5,False,False,False,False,True,False,2,1,434.0,744.0,720.0,523.3333333333334,-42.0,0.3469387755102041,159.33333333333334,17.333333333333332,25.0,0.6666666666666666,13.214285714285715,22.574539170506913,32.599999999999994,8.39963556851312,3724.0,783.0,653.25
86,2021-03-01,434.0,195.0,175.0,1.0,44.93,1.5,4.76,21.0,14.0,8.33,22.12903225806452,9.941935483870967,16.400000000000002,False,False,True,False,False,False,3,1,392.0,434.0,744.0,420.0,42.0,0.44930875576036866,175.0,14.0,23.0,0.6666666666666666,12.187096774193552,23.063786482334873,23.3,9.94276795005203,7117.600000000001,837.0,757.6363636363636
87,2021-04-01,420.0,202.0,116.0,2.0,48.1,1.71,8.33,24.0,14.0,4.83,18.02,8.639999999999999,33.2,False,False,False,True,False,False,4,2,434.0,392.0,434.0,415.3333333333333,-14.0,0.48095238095238096,177.66666666666666,14.0,20.666666666666668,1.0,9.38,21.45324884792627,19.700000000000003,8.666761904761906,13944.000000000002,810.0,738.5454545454545
88,2021-05-01,434.0,245.0,271.0,3.0,56.45,2.07,10.34,29.0,14.0,9.34,13.996774193548386,6.390322580645161,116.2,False,False,True,False,False,False,5,2,420.0,434.0,392.0,429.3333333333333,14.0,0.5645161290322581,214.0,14.0,24.666666666666668,2.0,7.606451612903226,18.048602150537633,55.26666666666667,7.9014047866805415,50430.8,834.0,766.0909090909091
89,2021-06-01,420.0,233.0,163.0,1.0,55.48,1.57,4.55,22.0,14.0,7.41,11.656666666666666,4.326666666666667,142.2,False,False,False,True,False,False,6,2,434.0,420.0,434.0,424.6666666666667,-14.0,0.5547619047619048,226.66666666666666,14.0,25.0,2.0,7.329999999999999,14.557813620071684,97.2,6.466674603174603,59723.99999999999,813.0,758.9090909090909
90,2021-07-01,434.0,185.0,116.0,2.0,42.63,1.5,9.52,21.0,14.0,5.52,10.358064516129032,3.070967741935484,57.400000000000006,False,False,False,True,False,False,7,3,420.0,434.0,420.0,429.3333333333333,14.0,0.42626728110599077,221.0,14.0,24.0,2.0,7.2870967741935475,12.003835125448028,105.26666666666667,4.415303998810762,24911.600000000002,744.0,755.9090909090909
91,2021-08-01,434.0,307.0,213.0,0.0,70.74,1.64,0.0,23.0,14.0,9.26,11.596774193548388,4.16774193548387,141.4,False,False,True,False,False,False,8,3,434.0,420.0,434.0,429.3333333333333,0.0,0.7073732718894009,241.66666666666666,14.0,22.0,1.0,7.429032258064518,11.203835125448029,113.66666666666667,8.203248104652891,61367.600000000006,744.0,760.1818181818181
92,2021-09-01,420.0,260.0,422.0,1.0,61.9,1.86,3.85,26.0,14.0,16.23,13.816666666666666,4.69,49.5,False,False,True,False,False,False,9,3,434.0,434.0,420.0,429.3333333333333,-14.0,0.6190476190476191,250.66666666666666,14.0,23.333333333333332,1.0,9.126666666666665,11.92383512544803,82.76666666666667,8.553174603174604,20790.0,720.0,736.9090909090909
93,2021-10-01,434.0,231.0,186.0,2.0,53.23,1.71,8.33,24.0,14.0,7.75,15.838709677419354,5.719354838709678,42.6,False,False,False,False,True,False,10,4,420.0,434.0,434.0,429.3333333333333,14.0,0.532258064516129,266.0,14.0,24.333333333333332,1.0,10.119354838709675,13.750716845878136,77.83333333333333,8.430280957336107,18488.4,744.0,764.4545454545455
94,2021-11-01,420.0,200.0,226.0,2.0,47.62,2.0,7.14,28.0,14.0,8.07,19.35333333333333,7.97,18.1,False,False,False,False,True,False,11,4,434.0,420.0,434.0,424.6666666666667,-14.0,0.47619047619047616,230.33333333333334,14.0,26.0,1.6666666666666667,11.383333333333333,16.336236559139785,36.733333333333334,9.215873015873015,7602.000000000001,720.0,735.3636363636364
95,2021-12-01,434.0,203.0,151.0,5.0,46.77,2.57,13.89,36.0,14.0,4.19,24.40967741935484,10.293548387096775,10.8,False,False,False,False,True,False,12,4,420.0,434.0,420.0,429.3333333333333,14.0,0.46774193548387094,211.33333333333334,14.0,29.333333333333332,3.0,14.116129032258064,19.867240143369173,23.833333333333332,11.417429760665973,4687.200000000001,744.0,713.3636363636364
96,2022-01-01,620.0,205.0,162.0,0.0,33.06,1.95,0.0,39.0,20.0,4.15,23.251612903225805,10.861290322580643,57.0,False,False,False,False,True,False,1,1,434.0,420.0,434.0,491.3333333333333,186.0,0.33064516129032256,202.66666666666666,16.0,34.333333333333336,2.3333333333333335,12.390322580645162,22.33820788530466,28.633333333333336,7.688033298647242,35340.0,434.0,760.5
