,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
42,2017-07-01,1015.0,420.0,431.0,2.0,41.38,3.82,1.6,125.0,32.74,3.45,10.193548387096774,4.803225806451613,174.9,False,False,False,True,7,3,974.0,977.0,968.0,988.6666666666666,41.0,0.41379310344827586,523.3333333333334,32.24333333333334,150.66666666666666,3.3333333333333335,5.390322580645161,10.87978494623656,206.66666666666666,4.218020022246941,177523.5,990.0,1024.3636363636363
43,2017-08-01,957.0,628.0,601.0,4.0,65.62,5.41,2.4,167.0,30.87,3.6,9.99032258064516,5.235483870967743,410.3,False,False,True,False,8,3,1015.0,974.0,977.0,982.0,-58.0,0.6562173458725182,540.6666666666666,32.02666666666668,156.33333333333334,3.3333333333333335,4.754838709677417,9.96795698924731,274.7,6.555822968281253,392657.10000000003,944.0,1019.7272727272727
44,2017-09-01,975.0,556.0,544.0,4.0,57.03,5.02,2.45,163.0,32.5,3.34,11.616666666666667,4.6466666666666665,118.7,False,False,False,True,9,3,957.0,1015.0,974.0,982.3333333333334,18.0,0.5702564102564103,534.6666666666666,32.036666666666676,151.66666666666666,3.3333333333333335,6.970000000000001,10.600179211469532,234.63333333333333,6.624478632478633,115732.5,910.0,985.0909090909091
45,2017-10-01,970.0,537.0,544.0,3.0,55.36,5.15,1.86,161.0,31.29,3.38,12.551612903225807,6.170967741935484,209.3,False,False,False,True,10,4,975.0,957.0,1015.0,967.3333333333334,-5.0,0.5536082474226804,573.6666666666666,31.55333333333334,163.66666666666666,3.6666666666666665,6.380645161290324,11.386200716845877,246.1,6.948676421682741,203021.0,987.0,1029.7272727272727
46,2017-11-01,995.0,411.0,451.0,0.0,41.31,3.89,0.0,129.0,33.17,3.5,15.333333333333334,7.12,44.7,False,False,True,False,11,4,970.0,975.0,957.0,980.0,25.0,0.4130653266331658,501.3333333333333,32.32000000000001,151.0,2.3333333333333335,8.213333333333335,13.167204301075268,124.2333333333333,6.333668341708543,44476.5,978.0,999.4545454545455
47,2017-12-01,999.0,574.0,562.0,5.0,57.46,5.15,3.01,166.0,32.23,3.39,17.73225806451613,9.751612903225809,89.30000000000001,False,False,False,True,12,4,995.0,970.0,975.0,988.0,4.0,0.5745745745745746,507.3333333333333,32.23000000000001,152.0,2.6666666666666665,7.980645161290322,15.20573476702509,114.43333333333332,10.188504633665925,89210.70000000001,997.0,1034.6363636363637
48,2018-01-01,1012.0,515.0,547.0,2.0,50.89,4.78,1.28,156.0,32.65,3.51,19.48064516129032,10.50967741935484,42.7,False,False,False,True,1,1,999.0,995.0,970.0,1002.0,13.0,0.508893280632411,500.0,32.683333333333344,150.33333333333334,2.3333333333333335,8.970967741935478,17.515412186379926,58.899999999999984,9.913569424964933,43212.4,949.0,1037.6666666666667
49,2018-02-01,919.0,361.0,366.0,0.0,39.28,4.08,0.0,134.0,32.82,2.73,20.582142857142856,11.221428571428572,37.2,False,False,True,False,2,1,1012.0,999.0,995.0,976.6666666666666,-93.0,0.3928182807399347,483.3333333333333,32.56666666666667,152.0,2.3333333333333335,9.360714285714284,19.2650153609831,56.39999999999998,8.085041971086584,34186.8,891.0,942.5
50,2018-03-01,1006.0,561.0,516.0,4.0,55.77,4.78,2.58,155.0,32.45,3.33,16.661290322580644,8.825806451612904,113.3,False,False,False,True,3,1,919.0,1012.0,999.0,979.0,87.0,0.5576540755467196,479.0,32.64000000000001,148.33333333333334,2.0,7.835483870967741,18.90802611367127,64.39999999999998,9.291236452254216,113979.8,957.0,1021.0909090909091
51,2018-04-01,1029.0,478.0,493.0,0.0,46.45,4.52,0.0,155.0,34.3,3.18,14.666666666666666,7.67,114.6,False,False,True,False,4,2,1006.0,919.0,1012.0,984.6666666666666,23.0,0.4645286686103013,466.6666666666667,33.190000000000005,148.0,1.3333333333333333,6.996666666666666,17.30336661546339,88.36666666666666,6.813087139617752,117923.4,968.0,1007.9090909090909
