,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
50,2018-03-01,372.0,193.0,240.0,4.0,51.88,3.42,9.76,41.0,12.0,5.85,19.50967741935484,10.358064516129032,98.1,False,False,False,True,3,1,336.0,372.0,372.0,360.0,36.0,0.5188172043010753,171.66666666666666,12.0,37.0,1.6666666666666667,9.151612903225809,21.881182795698923,40.5666666666667,10.121956295525495,36493.2,372.0,391.54545454545456
51,2018-04-01,360.0,124.0,159.0,0.0,34.44,2.83,0.0,34.0,12.0,4.68,15.533333333333331,7.79,126.7,False,True,False,False,4,2,372.0,336.0,372.0,356.0,-12.0,0.34444444444444444,155.0,12.0,33.666666666666664,1.3333333333333333,7.743333333333331,19.464336917562722,76.70000000000003,5.35037037037037,45612.0,360.0,379.27272727272725
52,2018-05-01,372.0,128.0,116.0,1.0,34.41,2.42,3.45,29.0,12.0,4.0,14.074193548387097,7.300000000000001,182.5,False,False,True,False,5,2,360.0,372.0,336.0,368.0,12.0,0.34408602150537637,148.33333333333334,12.0,34.666666666666664,1.6666666666666667,6.774193548387096,16.372401433691756,135.76666666666668,4.842733263961152,67890.0,372.0,391.54545454545456
53,2018-06-01,360.0,147.0,155.0,0.0,40.83,3.0,0.0,36.0,12.0,4.31,12.056666666666668,4.266666666666667,176.9,False,True,False,False,6,2,372.0,360.0,372.0,364.0,-12.0,0.4083333333333333,133.0,12.0,33.0,0.3333333333333333,7.790000000000002,13.888064516129033,162.03333333333336,4.923138888888889,63684.0,360.0,368.1818181818182
54,2018-07-01,372.0,173.0,172.0,1.0,46.51,4.0,2.08,48.0,12.0,3.58,11.75483870967742,4.512903225806451,179.2,False,False,True,False,7,3,360.0,372.0,360.0,368.0,12.0,0.4650537634408602,149.33333333333334,12.0,37.666666666666664,0.6666666666666666,7.241935483870969,12.628566308243728,179.5333333333334,5.466631980575789,66662.4,372.0,391.72727272727275
55,2018-08-01,370.0,142.0,140.0,2.0,38.38,3.18,5.26,38.0,11.94,3.68,12.90967741935484,4.812903225806451,167.7,False,True,False,False,8,3,372.0,360.0,372.0,367.3333333333333,-2.0,0.3837837837837838,154.0,11.979999999999999,40.666666666666664,1.0,8.096774193548388,12.240394265232977,174.60000000000002,4.954524847428074,62048.99999999999,372.0,369.0
56,2018-09-01,362.0,181.0,193.0,0.0,50.0,3.65,0.0,44.0,12.07,4.39,13.676666666666668,6.73,267.6,False,True,False,False,9,3,370.0,372.0,360.0,368.0,-8.0,0.5,165.33333333333334,12.003333333333336,43.333333333333336,1.0,6.946666666666667,12.780394265232976,204.83333333333337,6.838333333333334,96871.20000000001,360.0,346.54545454545456
57,2018-10-01,370.0,123.0,119.0,2.0,33.24,2.85,5.88,34.0,11.94,3.5,14.983870967741936,6.693548387096774,103.2,False,False,False,True,10,4,362.0,370.0,372.0,367.3333333333333,8.0,0.3324324324324324,148.66666666666666,11.983333333333334,38.666666666666664,1.3333333333333333,8.290322580645162,13.85673835125448,179.50000000000003,4.981124673060157,38184.0,372.0,357.72727272727275
58,2018-11-01,362.0,138.0,105.0,2.0,38.12,3.15,5.26,38.0,12.07,2.76,17.753333333333334,8.643333333333334,99.5,False,True,False,False,11,4,370.0,362.0,370.0,364.6666666666667,-8.0,0.3812154696132597,147.33333333333334,12.026666666666666,38.666666666666664,1.3333333333333333,9.11,15.471290322580648,156.7666666666667,6.767845303867404,36019.0,360.0,340.0
59,2018-12-01,372.0,209.0,121.0,2.0,56.18,3.0,5.56,36.0,12.0,3.36,20.59354838709677,10.651612903225804,44.0,False,False,False,True,12,4,362.0,370.0,362.0,368.0,10.0,0.5618279569892473,156.66666666666666,12.003333333333332,36.0,2.0,9.941935483870967,17.776917562724012,82.23333333333336,11.570031217481787,16368.0,372.0,349.09090909090907
60,2019-01-01,372.0,166.0,179.0,0.0,44.62,2.0,0.0,24.0,12.0,7.46,22.35806451612904,11.00967741935484,27.6,False,False,False,True,1,1,372.0,362.0,370.0,368.6666666666667,0.0,0.44623655913978494,171.0,12.023333333333333,32.666666666666664,1.3333333333333333,11.3483870967742,20.234982078853047,57.03333333333338,9.976985778702744,10267.2,372.0,356.5
61,2019-02-01,336.0,143.0,160.0,1.0,42.56,2.42,3.45,29.0,12.0,5.52,22.24285714285714,12.485714285714286,3.1,False,False,False,True,2,1,372.0,372.0,362.0,360.0,-36.0,0.4255952380952381,172.66666666666666,12.0,29.666666666666668,1.0,9.757142857142854,21.731490015360986,24.900000000000038,9.466454081632651,1041.6000000000001,336.0,330.1666666666667
62,2019-03-01,372.0,147.0,122.0,3.0,39.52,2.08,12.0,25.0,12.0,4.88,20.3,10.332258064516129,16.5,False,True,False,False,3,1,336.0,372.0,372.0,360.0,36.0,0.3951612903225806,152.0,12.0,26.0,1.3333333333333333,9.967741935483872,21.63364055299539,15.733333333333372,8.021774193548387,6138.0,372.0,391.54545454545456
63,2019-04-01,360.0,170.0,160.0,1.0,47.22,3.25,2.56,39.0,12.0,4.1,17.653333333333332,9.06,12.0,False,True,False,False,4,2,372.0,336.0,372.0,356.0,-12.0,0.4722222222222222,153.33333333333334,12.0,31.0,1.6666666666666667,8.593333333333332,20.065396825396824,10.533333333333372,8.336296296296295,4320.0,360.0,379.27272727272725
64,2019-05-01,372.0,252.0,72.0,0.0,67.74,2.08,0.0,25.0,12.0,2.88,14.303225806451612,7.909677419354838,309.7,False,False,True,False,5,2,360.0,372.0,336.0,368.0,12.0,0.6774193548387096,189.66666666666666,12.0,29.666666666666668,1.3333333333333333,6.393548387096774,17.418853046594982,112.73333333333336,9.689281997918833,115208.4,372.0,391.54545454545456
65,2019-06-01,360.0,180.0,127.0,1.0,50.0,2.08,4.0,25.0,12.0,5.08,12.293333333333331,6.79,383.4,False,False,True,False,6,2,372.0,360.0,372.0,364.0,-12.0,0.5,200.66666666666666,12.0,29.666666666666668,0.6666666666666666,5.503333333333331,14.749964157706094,235.0333333333334,6.146666666666666,138024.0,360.0,368.1818181818182
66,2019-07-01,372.0,142.0,91.0,1.0,38.17,1.83,4.55,22.0,12.0,4.14,12.422580645161291,6.283870967741936,240.0,False,True,False,False,7,3,360.0,372.0,360.0,368.0,12.0,0.3817204301075269,191.33333333333334,12.0,24.0,0.6666666666666666,6.138709677419356,13.006379928315411,311.03333333333336,4.741952826916407,89280.0,372.0,391.72727272727275
67,2019-08-01,372.0,188.0,122.0,0.0,50.54,2.92,0.0,35.0,12.0,3.49,13.067741935483872,5.132258064516129,122.1,False,True,False,False,8,3,372.0,360.0,372.0,368.0,0.0,0.5053763440860215,170.0,12.0,27.333333333333332,0.6666666666666666,7.935483870967743,12.594551971326164,248.5,6.6041276448144295,45421.2,370.0,369.0
68,2019-09-01,360.0,208.0,142.0,0.0,57.78,2.67,0.0,32.0,12.0,4.44,14.256666666666666,5.796666666666667,92.6,False,True,False,False,9,3,372.0,372.0,360.0,368.0,-12.0,0.5777777777777777,179.33333333333334,12.0,29.666666666666668,0.3333333333333333,8.459999999999999,13.24899641577061,151.5666666666667,8.237185185185185,33336.0,362.0,346.54545454545456
69,2019-10-01,372.0,179.0,300.0,2.0,48.12,2.92,5.71,35.0,12.0,8.57,15.506451612903223,6.72258064516129,88.8,False,False,False,True,10,4,360.0,372.0,372.0,368.0,12.0,0.48118279569892475,191.66666666666666,12.0,34.0,0.6666666666666666,8.783870967741933,14.27695340501792,101.1666666666667,7.4614377384668735,33033.6,370.0,357.72727272727275
70,2019-11-01,330.0,144.0,132.0,1.0,43.64,2.45,3.7,27.0,11.0,4.89,19.42,9.51,38.2,False,False,False,True,11,4,372.0,360.0,372.0,354.0,-42.0,0.43636363636363634,177.0,11.666666666666666,31.333333333333332,1.0,9.910000000000002,16.39437275985663,73.20000000000003,8.474181818181819,12606.000000000002,362.0,340.0
71,2019-12-01,341.0,144.0,97.0,0.0,42.23,1.91,0.0,21.0,11.0,4.62,22.40967741935484,10.929032258064517,4.800000000000001,False,False,False,True,12,4,330.0,372.0,360.0,347.6666666666667,11.0,0.4222873900293255,155.66666666666666,11.333333333333334,27.666666666666668,1.0,11.480645161290322,19.112043010752686,43.93333333333337,9.463324188818467,1636.8000000000002,372.0,349.09090909090907
72,2020-01-01,341.0,159.0,152.0,1.0,46.63,3.55,2.56,39.0,11.0,3.9,23.616129032258065,12.429032258064517,18.2,False,False,False,True,1,1,341.0,330.0,372.0,337.3333333333333,0.0,0.4662756598240469,149.0,11.0,29.0,0.6666666666666666,11.187096774193549,21.815268817204302,20.400000000000038,11.011626147005959,6206.2,372.0,356.5
73,2020-02-01,327.0,142.0,129.0,0.0,43.43,2.48,0.0,28.0,11.28,4.61,23.31428571428572,12.032142857142857,10.0,False,False,False,True,2,1,341.0,341.0,330.0,336.3333333333333,-14.0,0.43425076452599387,148.33333333333334,11.093333333333334,29.333333333333332,0.3333333333333333,11.282142857142864,23.11336405529954,11.000000000000037,10.124246395806031,3270.0,336.0,330.1666666666667
74,2020-03-01,339.0,100.0,68.0,2.0,29.5,1.46,12.5,16.0,10.94,4.25,21.36774193548387,11.729032258064516,18.2,False,True,False,False,3,1,327.0,341.0,341.0,335.6666666666667,12.0,0.2949852507374631,133.66666666666666,11.073333333333332,27.666666666666668,1.0,9.638709677419355,22.766052227342556,15.466666666666704,6.303168712532115,6169.8,372.0,391.54545454545456
75,2020-04-01,332.0,77.0,36.0,1.0,23.19,1.27,7.14,14.0,11.07,2.57,18.41,9.576666666666666,132.5,False,False,True,False,4,2,339.0,327.0,341.0,332.6666666666667,-7.0,0.2319277108433735,106.33333333333333,11.096666666666666,19.333333333333332,1.0,8.833333333333334,21.03067588325653,53.5666666666667,4.269789156626506,43990.0,360.0,379.27272727272725
76,2020-05-01,339.0,100.0,82.0,2.0,29.5,1.74,10.53,19.0,10.94,4.32,15.519354838709678,7.648387096774194,85.39999999999999,False,True,False,False,5,2,332.0,339.0,327.0,336.6666666666667,7.0,0.2949852507374631,92.33333333333333,10.983333333333334,16.333333333333332,1.6666666666666667,7.870967741935484,18.43236559139785,78.70000000000003,4.577980778380436,28950.6,372.0,391.54545454545456
77,2020-06-01,330.0,84.0,54.0,2.0,25.45,1.27,14.29,14.0,11.0,3.86,11.693333333333332,6.3533333333333335,461.6,False,False,True,False,6,2,339.0,332.0,339.0,333.6666666666667,-9.0,0.2545454545454545,87.0,11.003333333333336,15.666666666666666,1.6666666666666667,5.339999999999998,15.207562724014338,226.50000000000003,2.976484848484848,152328.0,360.0,368.1818181818182
78,2020-07-01,341.0,98.0,71.0,0.0,28.74,1.82,0.0,20.0,11.0,3.55,11.658064516129032,5.519354838709678,323.6,False,True,False,False,7,3,330.0,339.0,332.0,336.6666666666667,11.0,0.2873900293255132,94.0,10.979999999999999,17.666666666666668,1.3333333333333333,6.138709677419355,12.956917562724014,290.20000000000005,3.3504115031690476,110347.6,372.0,391.72727272727275
79,2020-08-01,341.0,121.0,75.0,0.0,35.48,1.73,0.0,19.0,11.0,3.95,12.5,5.135483870967741,162.9,False,False,True,False,8,3,341.0,330.0,339.0,337.3333333333333,0.0,0.3548387096774194,101.0,11.0,17.666666666666668,0.6666666666666666,7.364516129032259,11.950465949820789,316.03333333333336,4.435483870967742,55548.9,372.0,369.0
80,2020-09-01,330.0,90.0,72.0,0.0,27.27,1.82,0.0,20.0,11.0,3.6,14.45,5.426666666666667,65.5,False,True,False,False,9,3,341.0,341.0,330.0,337.3333333333333,-11.0,0.2727272727272727,103.0,11.0,19.666666666666668,0.0,9.023333333333333,12.869354838709677,184.00000000000003,3.9409090909090905,21615.0,360.0,346.54545454545456
81,2020-10-01,341.0,141.0,91.0,0.0,41.35,2.82,0.0,31.0,11.0,2.94,16.593548387096774,6.303225806451613,18.2,False,False,False,True,10,4,330.0,341.0,341.0,337.3333333333333,11.0,0.41348973607038125,117.33333333333333,11.0,23.333333333333332,0.0,10.29032258064516,14.514516129032259,82.20000000000003,6.861261943051746,6206.2,372.0,357.72727272727275
82,2020-11-01,341.0,156.0,137.0,2.0,45.75,2.99,5.88,34.0,11.37,4.03,19.196666666666665,9.106666666666666,8.4,False,False,False,True,11,4,341.0,330.0,341.0,337.3333333333333,0.0,0.4574780058651026,129.0,11.123333333333333,28.333333333333332,0.6666666666666666,10.09,16.746738351254482,30.700000000000035,8.782052785923753,2864.4,330.0,340.0
83,2020-12-01,341.0,145.0,122.0,2.0,42.52,2.55,7.14,28.0,11.0,4.36,21.616129032258065,10.283870967741937,29.6,False,False,False,True,12,4,341.0,341.0,330.0,341.0,0.0,0.4252199413489736,147.33333333333334,11.123333333333333,31.0,1.3333333333333333,11.332258064516129,19.135448028673835,18.733333333333373,9.19160911928862,10093.6,341.0,349.09090909090907
